v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_placed_nodes,num_routed_links
1,1,1,190.0,321.0,23886.983881071876,40356.43066223196,0.5919003115264797,0.5919003115264798,7,0,1,33.0,45013,7514,37499,0.010925365275766707,0.006306807642366907,0,125.72096779511513,33.0,7,8,True,"{0: 1, 2: 74, 6: 83, 4: 95, 3: 77, 1: 79, 5: 10}","{(0, 3): [(1, 10), (10, 77)], (0, 4): [(1, 21), (21, 95)], (0, 6): [(1, 86), (86, 83)], (1, 3): [(79, 68), (68, 6), (6, 77)], (1, 4): [(79, 9), (9, 95)], (2, 4): [(74, 22), (22, 95)], (3, 4): [(77, 6), (6, 26), (26, 95)], (5, 6): [(10, 30), (30, 83)]}","{(0, 1): {'cpu': 20}, (2, 74): {'cpu': 19}, (6, 83): {'cpu': 19}, (4, 95): {'cpu': 14}, (3, 77): {'cpu': 8}, (1, 79): {'cpu': 3}, (5, 10): {'cpu': 0}}","{((0, 3), (1, 10)): {'bw': 8}, ((0, 3), (10, 77)): {'bw': 8}, ((0, 4), (1, 21)): {'bw': 7}, ((0, 4), (21, 95)): {'bw': 7}, ((0, 6), (1, 86)): {'bw': 23}, ((0, 6), (86, 83)): {'bw': 23}, ((1, 3), (79, 68)): {'bw': 13}, ((1, 3), (68, 6)): {'bw': 13}, ((1, 3), (6, 77)): {'bw': 13}, ((1, 4), (79, 9)): {'bw': 17}, ((1, 4), (9, 95)): {'bw': 17}, ((2, 4), (74, 22)): {'bw': 0}, ((2, 4), (22, 95)): {'bw': 0}, ((3, 4), (77, 6)): {'bw': 11}, ((3, 4), (6, 26)): {'bw': 11}, ((3, 4), (26, 95)): {'bw': 11}, ((5, 6), (10, 30)): {'bw': 28}, ((5, 6), (30, 83)): {'bw': 28}}",321.0,190.0,166.0,83.0,107.0,83.0,107.0,83.0,238.0,131.0,0.5919003115264797,40356.43066223196,23886.983881071876,74.41428000333917,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -80}, 2: {'cpu': -81}, 6: {'cpu': -81}, 4: {'cpu': -86}, 3: {'cpu': -91}, 1: {'cpu': -96}, 5: {'cpu': -98}}, 'link_level': {(0, 3): {'bw': -66}, (0, 4): {'bw': -45}, (0, 6): {'bw': -28}, (1, 3): {'bw': -55}, (1, 4): {'bw': -68}, (2, 4): {'bw': -72}, (3, 4): {'bw': -41}, (5, 6): {'bw': -37}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}","{'node_level': {0: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 6): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],7.0,8.0
2,2,2,236.0,409.0,35123.79613037254,61852.94105219845,0.5770171149144254,0.5678597578849346,8,1,1,49.0,44925,7510,37415,0.011451888903514562,0.008532739751437535,1,244.27852715871012,49.0,2,1,True,"{0: 10, 1: 26}","{(0, 1): [(10, 59), (59, 26)]}","{(0, 10): {'cpu': 4}, (1, 26): {'cpu': 0}}","{((0, 1), (10, 59)): {'bw': 42}, ((0, 1), (59, 26)): {'bw': 42}}",88.0,46.0,8.0,4.0,42.0,4.0,42.0,4.0,84.0,42.0,0.5227272727272727,21496.51038996649,11236.812249300665,127.69104828750756,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -94}, 1: {'cpu': -97}}, 'link_level': {(0, 1): {'bw': -36}}, 'path_level': {(0, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],2.0,1.0
3,3,3,347.0,579.0,164378.49076317827,259810.58148081985,0.5993091537132987,0.632685896880275,11,2,1,76.0,44755,7451,37304,0.019218112412794475,0.01147415003842378,2,1164.4567084036553,76.0,5,6,True,"{1: 26, 2: 22, 0: 79, 3: 53, 4: 64}","{(0, 1): [(79, 39), (39, 26)], (0, 3): [(79, 9), (9, 22), (22, 53)], (1, 3): [(26, 49), (49, 53)], (1, 4): [(26, 75), (75, 64)], (2, 4): [(22, 15), (15, 64)], (3, 4): [(53, 22), (22, 15), (15, 64)]}","{(1, 26): {'cpu': 20}, (2, 22): {'cpu': 18}, (0, 79): {'cpu': 14}, (3, 53): {'cpu': 4}, (4, 64): {'cpu': 3}}","{((0, 1), (79, 39)): {'bw': 19}, ((0, 1), (39, 26)): {'bw': 19}, ((0, 3), (79, 9)): {'bw': 7}, ((0, 3), (9, 22)): {'bw': 7}, ((0, 3), (22, 53)): {'bw': 7}, ((1, 3), (26, 49)): {'bw': 8}, ((1, 3), (49, 53)): {'bw': 8}, ((1, 4), (26, 75)): {'bw': 13}, ((1, 4), (75, 64)): {'bw': 13}, ((2, 4), (22, 15)): {'bw': 5}, ((2, 4), (15, 64)): {'bw': 5}, ((3, 4), (53, 22)): {'bw': 0}, ((3, 4), (22, 15)): {'bw': 0}, ((3, 4), (15, 64)): {'bw': 0}}",170.0,111.0,118.0,59.0,52.0,59.0,52.0,59.0,111.0,59.0,0.6529411764705882,197957.6404286214,129254.69463280574,760.3217331341514,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -77}, 2: {'cpu': -78}, 0: {'cpu': -82}, 3: {'cpu': -91}, 4: {'cpu': -92}}, 'link_level': {(0, 1): {'bw': -71}, (0, 3): {'bw': -53}, (1, 3): {'bw': -45}, (1, 4): {'bw': -65}, (2, 4): {'bw': -45}, (3, 4): {'bw': -45}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {1: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],5.0,6.0
4,4,4,548.0,1011.0,224451.97154741955,388923.7342111295,0.5420375865479723,0.577110502146867,15,3,1,97.0,44323,7398,36925,0.026194550480452827,0.021517343721016546,3,298.87303872756866,97.0,5,5,True,"{1: 69, 2: 90, 3: 10, 0: 27, 4: 63}","{(0, 2): [(27, 39), (39, 90)], (0, 4): [(27, 39), (39, 46), (46, 63)], (1, 4): [(69, 15), (15, 46), (46, 63)], (2, 3): [(90, 47), (47, 10)], (2, 4): [(90, 14), (14, 8), (8, 63)]}","{(1, 69): {'cpu': 15}, (2, 90): {'cpu': 15}, (3, 10): {'cpu': 11}, (0, 27): {'cpu': 8}, (4, 63): {'cpu': 4}}","{((0, 2), (27, 39)): {'bw': 39}, ((0, 2), (39, 90)): {'bw': 39}, ((0, 4), (27, 39)): {'bw': 28}, ((0, 4), (39, 46)): {'bw': 28}, ((0, 4), (46, 63)): {'bw': 28}, ((1, 4), (69, 15)): {'bw': 45}, ((1, 4), (15, 46)): {'bw': 45}, ((1, 4), (46, 63)): {'bw': 45}, ((2, 3), (90, 47)): {'bw': 26}, ((2, 3), (47, 10)): {'bw': 26}, ((2, 4), (90, 14)): {'bw': 10}, ((2, 4), (14, 8)): {'bw': 10}, ((2, 4), (8, 63)): {'bw': 10}}",432.0,201.0,106.0,53.0,148.0,53.0,148.0,53.0,379.0,231.0,0.4652777777777778,129113.15273030967,60073.4807842413,139.05898329685488,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -80}, 2: {'cpu': -80}, 3: {'cpu': -83}, 0: {'cpu': -86}, 4: {'cpu': -90}}, 'link_level': {(0, 2): {'bw': -14}, (0, 4): {'bw': -30}, (1, 4): {'bw': -1}, (2, 3): {'bw': -30}, (2, 4): {'bw': -68}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}","{'node_level': {1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 4): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}",[],-inf,-inf,True,True,False,0,[],5.0,5.0
5,5,5,955.0,1731.0,417674.1172054929,730741.7805841339,0.5517042172154824,0.571575525449792,23,4,1,123.0,43603,7277,36326,0.0421218902198236,0.03739035959403236,4,474.74728662917295,123.0,9,10,True,"{0: 65, 3: 42, 8: 44, 6: 89, 2: 39, 1: 64, 5: 66, 4: 82, 7: 11}","{(0, 2): [(65, 27), (27, 39)], (1, 4): [(64, 21), (21, 82)], (1, 6): [(64, 17), (17, 1), (1, 89)], (1, 8): [(64, 44)], (2, 3): [(39, 50), (50, 42)], (2, 4): [(39, 91), (91, 82)], (2, 7): [(39, 45), (45, 3), (3, 11)], (2, 8): [(39, 14), (14, 44)], (4, 7): [(82, 83), (83, 3), (3, 11)], (5, 6): [(66, 1), (1, 89)]}","{(0, 65): {'cpu': 20}, (3, 42): {'cpu': 19}, (8, 44): {'cpu': 19}, (6, 89): {'cpu': 18}, (2, 39): {'cpu': 17}, (1, 64): {'cpu': 14}, (5, 66): {'cpu': 9}, (4, 82): {'cpu': 3}, (7, 11): {'cpu': 2}}","{((0, 2), (65, 27)): {'bw': 30}, ((0, 2), (27, 39)): {'bw': 30}, ((1, 4), (64, 21)): {'bw': 43}, ((1, 4), (21, 82)): {'bw': 43}, ((1, 6), (64, 17)): {'bw': 18}, ((1, 6), (17, 1)): {'bw': 18}, ((1, 6), (1, 89)): {'bw': 18}, ((1, 8), (64, 44)): {'bw': 45}, ((2, 3), (39, 50)): {'bw': 23}, ((2, 3), (50, 42)): {'bw': 23}, ((2, 4), (39, 91)): {'bw': 1}, ((2, 4), (91, 82)): {'bw': 1}, ((2, 7), (39, 45)): {'bw': 6}, ((2, 7), (45, 3)): {'bw': 6}, ((2, 7), (3, 11)): {'bw': 6}, ((2, 8), (39, 14)): {'bw': 42}, ((2, 8), (14, 44)): {'bw': 42}, ((4, 7), (82, 83)): {'bw': 48}, ((4, 7), (83, 3)): {'bw': 48}, ((4, 7), (3, 11)): {'bw': 48}, ((5, 6), (66, 1)): {'bw': 30}, ((5, 6), (1, 89)): {'bw': 30}}",720.0,407.0,242.0,121.0,286.0,121.0,286.0,121.0,599.0,313.0,0.5652777777777778,341818.0463730045,193222.1456580734,268.3640911917686,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -74}, 3: {'cpu': -74}, 8: {'cpu': -74}, 6: {'cpu': -75}, 2: {'cpu': -75}, 1: {'cpu': -78}, 5: {'cpu': -83}, 4: {'cpu': -89}, 7: {'cpu': -89}}, 'link_level': {(0, 2): {'bw': 0}, (1, 4): {'bw': -10}, (1, 6): {'bw': -52}, (1, 8): {'bw': -15}, (2, 3): {'bw': -45}, (2, 4): {'bw': -63}, (2, 7): {'bw': -58}, (2, 8): {'bw': -26}, (4, 7): {'bw': -11}, (5, 6): {'bw': -39}}, 'path_level': {(0, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 3): {}, (2, 4): {}, (2, 7): {}, (2, 8): {}, (4, 7): {}, (5, 6): {}}}","{'node_level': {0: {'cpu': 0}, 3: {'cpu': 0}, 8: {'cpu': 0}, 6: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 4: {'cpu': 0}, 7: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 4): {'bw': 0}, (1, 6): {'bw': 0}, (1, 8): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}, (2, 7): {'bw': 0}, (2, 8): {'bw': 0}, (4, 7): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 3): {}, (2, 4): {}, (2, 7): {}, (2, 8): {}, (4, 7): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],9.0,10.0
6,6,6,1158.0,2236.0,653798.755128071,1318145.436499907,0.5178890876565295,0.49599895203075123,26,5,1,146.0,43098,7222,35876,0.04936159010135577,0.049314995892625224,5,1163.1755562688575,146.0,5,6,True,"{2: 16, 0: 53, 3: 75, 4: 77, 1: 84}","{(0, 2): [(53, 22), (22, 9), (9, 16)], (0, 4): [(53, 22), (22, 47), (47, 6), (6, 77)], (1, 2): [(84, 83), (83, 51), (51, 16)], (1, 4): [(84, 10), (10, 77)], (2, 4): [(16, 51), (51, 47), (47, 6), (6, 77)], (3, 4): [(75, 10), (10, 77)]}","{(2, 16): {'cpu': 17}, (0, 53): {'cpu': 16}, (3, 75): {'cpu': 10}, (4, 77): {'cpu': 9}, (1, 84): {'cpu': 3}}","{((0, 2), (53, 22)): {'bw': 44}, ((0, 2), (22, 9)): {'bw': 44}, ((0, 2), (9, 16)): {'bw': 44}, ((0, 4), (53, 22)): {'bw': 13}, ((0, 4), (22, 47)): {'bw': 13}, ((0, 4), (47, 6)): {'bw': 13}, ((0, 4), (6, 77)): {'bw': 13}, ((1, 2), (84, 83)): {'bw': 6}, ((1, 2), (83, 51)): {'bw': 6}, ((1, 2), (51, 16)): {'bw': 6}, ((1, 4), (84, 10)): {'bw': 38}, ((1, 4), (10, 77)): {'bw': 38}, ((2, 4), (16, 51)): {'bw': 39}, ((2, 4), (51, 47)): {'bw': 39}, ((2, 4), (47, 6)): {'bw': 39}, ((2, 4), (6, 77)): {'bw': 39}, ((3, 4), (75, 10)): {'bw': 8}, ((3, 4), (10, 77)): {'bw': 8}}",505.0,203.0,110.0,55.0,148.0,55.0,148.0,55.0,450.0,302.0,0.401980198019802,587403.655915773,236124.63792257805,467.5735404407487,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -74}, 0: {'cpu': -75}, 3: {'cpu': -81}, 4: {'cpu': -82}, 1: {'cpu': -88}}, 'link_level': {(0, 2): {'bw': -9}, (0, 4): {'bw': -33}, (1, 2): {'bw': -59}, (1, 4): {'bw': -24}, (2, 4): {'bw': -22}, (3, 4): {'bw': -20}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {2: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 2): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],5.0,6.0
6,6,5,1158.0,2236.0,653798.755128071,1318145.436499907,0.5178890876565295,0.49599895203075123,26,6,0,158.72096779511514,43419,7305,36114,0.03843622482558906,0.04300818825025832,0,125.72096779511513,33.0,7,8,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],,
7,7,6,1431.0,2977.0,668071.362267394,1356885.370163784,0.4806852536110178,0.4923565224870498,27,7,1,172.0,42678,7237,35441,0.04738712649730159,0.060842144314598445,6,52.28061223195255,172.0,7,9,True,"{2: 1, 3: 74, 0: 83, 4: 95, 1: 92, 6: 63, 5: 77}","{(0, 2): [(83, 86), (86, 1)], (1, 2): [(92, 19), (19, 1)], (1, 6): [(92, 24), (24, 95), (95, 63)], (2, 3): [(1, 28), (28, 15), (15, 74)], (2, 5): [(1, 10), (10, 77)], (2, 6): [(1, 44), (44, 63)], (3, 5): [(74, 15), (15, 68), (68, 38), (38, 7), (7, 77)], (3, 6): [(74, 22), (22, 86), (86, 63)], (4, 5): [(95, 26), (26, 6), (6, 77)]}","{(2, 1): {'cpu': 16}, (3, 74): {'cpu': 15}, (0, 83): {'cpu': 13}, (4, 95): {'cpu': 8}, (1, 92): {'cpu': 7}, (6, 63): {'cpu': 6}, (5, 77): {'cpu': 3}}","{((0, 2), (83, 86)): {'bw': 17}, ((0, 2), (86, 1)): {'bw': 17}, ((1, 2), (92, 19)): {'bw': 7}, ((1, 2), (19, 1)): {'bw': 7}, ((1, 6), (92, 24)): {'bw': 20}, ((1, 6), (24, 95)): {'bw': 20}, ((1, 6), (95, 63)): {'bw': 20}, ((2, 3), (1, 28)): {'bw': 25}, ((2, 3), (28, 15)): {'bw': 25}, ((2, 3), (15, 74)): {'bw': 25}, ((2, 5), (1, 10)): {'bw': 2}, ((2, 5), (10, 77)): {'bw': 2}, ((2, 6), (1, 44)): {'bw': 16}, ((2, 6), (44, 63)): {'bw': 16}, ((3, 5), (74, 15)): {'bw': 50}, ((3, 5), (15, 68)): {'bw': 50}, ((3, 5), (68, 38)): {'bw': 50}, ((3, 5), (38, 7)): {'bw': 50}, ((3, 5), (7, 77)): {'bw': 50}, ((3, 6), (74, 22)): {'bw': 45}, ((3, 6), (22, 86)): {'bw': 45}, ((3, 6), (86, 63)): {'bw': 45}, ((4, 5), (95, 26)): {'bw': 23}, ((4, 5), (26, 6)): {'bw': 23}, ((4, 5), (6, 77)): {'bw': 23}}",741.0,273.0,136.0,68.0,205.0,68.0,205.0,68.0,673.0,468.0,0.3684210526315789,38739.933663876844,14272.607139323047,19.26127819071936,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -84}, 3: {'cpu': -85}, 0: {'cpu': -87}, 4: {'cpu': -92}, 1: {'cpu': -84}, 6: {'cpu': -84}, 5: {'cpu': -87}}, 'link_level': {(0, 2): {'bw': -34}, (1, 2): {'bw': -44}, (1, 6): {'bw': -67}, (2, 3): {'bw': -45}, (2, 5): {'bw': -26}, (2, 6): {'bw': -51}, (3, 5): {'bw': -5}, (3, 6): {'bw': -5}, (4, 5): {'bw': -23}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}}}","{'node_level': {2: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}, 6: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 2): {'bw': 0}, (1, 6): {'bw': 0}, (2, 3): {'bw': 0}, (2, 5): {'bw': 0}, (2, 6): {'bw': 0}, (3, 5): {'bw': 0}, (3, 6): {'bw': 0}, (4, 5): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}}}",[],-inf,-inf,True,True,False,0,[],7.0,9.0
8,8,7,1599.0,3377.0,962089.3093883777,2056928.1014042213,0.4734971868522357,0.46773113203693395,28,8,1,194.0,42278,7200,35078,0.052257470053968635,0.07046135092879668,7,1750.1068281010932,194.0,4,5,True,"{3: 95, 2: 11, 0: 58, 1: 82}","{(0, 1): [(58, 29), (29, 28), (28, 82)], (0, 2): [(58, 29), (29, 11)], (0, 3): [(58, 29), (29, 24), (24, 95)], (1, 2): [(82, 23), (23, 65), (65, 11)], (1, 3): [(82, 28), (28, 9), (9, 95)]}","{(3, 95): {'cpu': 17}, (2, 11): {'cpu': 12}, (0, 58): {'cpu': 4}, (1, 82): {'cpu': 4}}","{((0, 1), (58, 29)): {'bw': 23}, ((0, 1), (29, 28)): {'bw': 23}, ((0, 1), (28, 82)): {'bw': 23}, ((0, 2), (58, 29)): {'bw': 30}, ((0, 2), (29, 11)): {'bw': 30}, ((0, 3), (58, 29)): {'bw': 25}, ((0, 3), (29, 24)): {'bw': 25}, ((0, 3), (24, 95)): {'bw': 25}, ((1, 2), (82, 23)): {'bw': 20}, ((1, 2), (23, 65)): {'bw': 20}, ((1, 2), (65, 11)): {'bw': 20}, ((1, 3), (82, 28)): {'bw': 33}, ((1, 3), (28, 9)): {'bw': 33}, ((1, 3), (9, 95)): {'bw': 33}}",400.0,168.0,74.0,37.0,131.0,37.0,131.0,37.0,363.0,232.0,0.42,700042.7312404372,294017.9471209837,735.0448678024592,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -75}, 2: {'cpu': -77}, 0: {'cpu': -85}, 1: {'cpu': -85}}, 'link_level': {(0, 1): {'bw': -59}, (0, 2): {'bw': -29}, (0, 3): {'bw': -4}, (1, 2): {'bw': -32}, (1, 3): {'bw': -31}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 2): {}, (1, 3): {}}}","{'node_level': {3: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (1, 2): {'bw': 0}, (1, 3): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 2): {}, (1, 3): {}}}",[],-inf,-inf,True,True,False,0,[],4.0,5.0
9,8,7,1599.0,3377.0,962089.3093883777,2056928.1014042213,0.4734971868522357,0.46773113203693395,28,9,1,223.0,42278,7200,35078,0.052257470053968635,0.07046135092879668,8,529.4170709327137,223.0,6,8,False,"{2: 33, 3: 84, 5: 5, 4: 67, 0: 77, 1: 83}","{(0, 1): []}","{(2, 33): {'cpu': 19}, (3, 84): {'cpu': 19}, (5, 5): {'cpu': 9}, (4, 67): {'cpu': 7}, (0, 77): {'cpu': 5}, (1, 83): {'cpu': 1}}",{},0.0,0.0,120.0,60.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,53.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -69}, 3: {'cpu': -69}, 5: {'cpu': -78}, 4: {'cpu': -80}, 0: {'cpu': -82}, 1: {'cpu': -86}}, 'link_level': {(0, 1): {'bw': 26}}, 'path_level': {(0, 1): {}}}","{'node_level': {2: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 53}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,False,False,0,[],6.0,1.0
