v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_placed_nodes,num_routed_links
1,1,1,190.0,275.0,23886.983881071876,34573.26614365666,0.6909090909090909,0.6909090909090909,7,0,1,33.0,44069,7349,36720,0.011167922497308913,0.005201560468140465,0,125.72096779511513,33.0,7,8,True,"{0: 44, 2: 99, 6: 53, 4: 39, 3: 86, 1: 18, 5: 52}","{(0, 3): [(44, 73), (73, 86)], (0, 4): [(44, 39)], (0, 6): [(44, 25), (25, 53)], (1, 3): [(18, 1), (1, 67), (67, 86)], (1, 4): [(18, 2), (2, 39)], (2, 4): [(99, 3), (3, 52), (52, 39)], (3, 4): [(86, 10), (10, 39)], (5, 6): [(52, 53)]}","{(0, 44): {'cpu': 20}, (2, 99): {'cpu': 19}, (6, 53): {'cpu': 19}, (4, 39): {'cpu': 14}, (3, 86): {'cpu': 8}, (1, 18): {'cpu': 3}, (5, 52): {'cpu': 0}}","{((0, 3), (44, 73)): {'bw': 8}, ((0, 3), (73, 86)): {'bw': 8}, ((0, 4), (44, 39)): {'bw': 7}, ((0, 6), (44, 25)): {'bw': 23}, ((0, 6), (25, 53)): {'bw': 23}, ((1, 3), (18, 1)): {'bw': 13}, ((1, 3), (1, 67)): {'bw': 13}, ((1, 3), (67, 86)): {'bw': 13}, ((1, 4), (18, 2)): {'bw': 17}, ((1, 4), (2, 39)): {'bw': 17}, ((2, 4), (99, 3)): {'bw': 0}, ((2, 4), (3, 52)): {'bw': 0}, ((2, 4), (52, 39)): {'bw': 0}, ((3, 4), (86, 10)): {'bw': 11}, ((3, 4), (10, 39)): {'bw': 11}, ((5, 6), (52, 53)): {'bw': 28}}",275.0,190.0,166.0,83.0,107.0,83.0,107.0,83.0,192.0,85.0,0.6909090909090909,34573.26614365666,23886.983881071876,86.8617595675341,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -80}, 2: {'cpu': -81}, 6: {'cpu': -79}, 4: {'cpu': -83}, 3: {'cpu': -89}, 1: {'cpu': -93}, 5: {'cpu': -96}}, 'link_level': {(0, 3): {'bw': -59}, (0, 4): {'bw': -85}, (0, 6): {'bw': -64}, (1, 3): {'bw': -68}, (1, 4): {'bw': -72}, (2, 4): {'bw': -64}, (3, 4): {'bw': -58}, (5, 6): {'bw': -48}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}","{'node_level': {0: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 6): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],7.0,8.0
2,2,2,236.0,363.0,35123.79613037254,56069.77653362315,0.650137741046832,0.6264301073022822,8,1,1,49.0,43981,7345,36636,0.011706135629709347,0.007477243172951842,1,244.27852715871012,49.0,2,1,True,"{0: 52, 1: 70}","{(0, 1): [(52, 53), (53, 70)]}","{(0, 52): {'cpu': 4}, (1, 70): {'cpu': 0}}","{((0, 1), (52, 53)): {'bw': 42}, ((0, 1), (53, 70)): {'bw': 42}}",88.0,46.0,8.0,4.0,42.0,4.0,42.0,4.0,84.0,42.0,0.5227272727272727,21496.51038996649,11236.812249300665,127.69104828750756,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -92}, 1: {'cpu': -96}}, 'link_level': {(0, 1): {'bw': -6}}, 'path_level': {(0, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],2.0,1.0
3,3,3,347.0,536.0,164378.49076317827,257520.7870874555,0.6473880597014925,0.6383115422342757,11,2,1,76.0,43808,7286,36522,0.01964477933261577,0.010565669700910219,2,1164.4567084036553,76.0,5,6,True,"{1: 70, 2: 88, 0: 89, 3: 9, 4: 18}","{(0, 1): [(89, 61), (61, 70)], (0, 3): [(89, 84), (84, 40), (40, 9)], (1, 3): [(70, 53), (53, 17), (17, 9)], (1, 4): [(70, 2), (2, 18)], (2, 4): [(88, 18)], (3, 4): [(9, 40), (40, 27), (27, 18)]}","{(1, 70): {'cpu': 20}, (2, 88): {'cpu': 18}, (0, 89): {'cpu': 14}, (3, 9): {'cpu': 4}, (4, 18): {'cpu': 3}}","{((0, 1), (89, 61)): {'bw': 19}, ((0, 1), (61, 70)): {'bw': 19}, ((0, 3), (89, 84)): {'bw': 7}, ((0, 3), (84, 40)): {'bw': 7}, ((0, 3), (40, 9)): {'bw': 7}, ((1, 3), (70, 53)): {'bw': 8}, ((1, 3), (53, 17)): {'bw': 8}, ((1, 3), (17, 9)): {'bw': 8}, ((1, 4), (70, 2)): {'bw': 13}, ((1, 4), (2, 18)): {'bw': 13}, ((2, 4), (88, 18)): {'bw': 5}, ((3, 4), (9, 40)): {'bw': 0}, ((3, 4), (40, 27)): {'bw': 0}, ((3, 4), (27, 18)): {'bw': 0}}",173.0,111.0,118.0,59.0,52.0,59.0,52.0,59.0,114.0,62.0,0.6416184971098265,201451.01055383237,129254.69463280574,747.1369631954088,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -76}, 2: {'cpu': -77}, 0: {'cpu': -81}, 3: {'cpu': -90}, 4: {'cpu': -90}}, 'link_level': {(0, 1): {'bw': -35}, (0, 3): {'bw': -48}, (1, 3): {'bw': -11}, (1, 4): {'bw': -59}, (2, 4): {'bw': -57}, (3, 4): {'bw': -59}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {1: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],5.0,6.0
4,4,4,548.0,962.0,224451.97154741955,384840.70158539974,0.5696465696465697,0.5832334537972761,15,3,1,97.0,43382,7233,36149,0.026776103336921375,0.02067078456870397,3,298.87303872756866,97.0,5,5,True,"{1: 56, 2: 75, 3: 10, 0: 52, 4: 1}","{(0, 2): [(52, 5), (5, 37), (37, 75)], (0, 4): [(52, 5), (5, 67), (67, 1)], (1, 4): [(56, 18), (18, 1)], (2, 3): [(75, 37), (37, 10)], (2, 4): [(75, 37), (37, 73), (73, 1)]}","{(1, 56): {'cpu': 15}, (2, 75): {'cpu': 15}, (3, 10): {'cpu': 11}, (0, 52): {'cpu': 8}, (4, 1): {'cpu': 4}}","{((0, 2), (52, 5)): {'bw': 39}, ((0, 2), (5, 37)): {'bw': 39}, ((0, 2), (37, 75)): {'bw': 39}, ((0, 4), (52, 5)): {'bw': 28}, ((0, 4), (5, 67)): {'bw': 28}, ((0, 4), (67, 1)): {'bw': 28}, ((1, 4), (56, 18)): {'bw': 45}, ((1, 4), (18, 1)): {'bw': 45}, ((2, 3), (75, 37)): {'bw': 26}, ((2, 3), (37, 10)): {'bw': 26}, ((2, 4), (75, 37)): {'bw': 10}, ((2, 4), (37, 73)): {'bw': 10}, ((2, 4), (73, 1)): {'bw': 10}}",426.0,201.0,106.0,53.0,148.0,53.0,148.0,53.0,373.0,225.0,0.47183098591549294,127319.91449794425,60073.4807842413,141.01756052638802,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -78}, 2: {'cpu': -78}, 3: {'cpu': -81}, 0: {'cpu': -84}, 4: {'cpu': -87}}, 'link_level': {(0, 2): {'bw': -52}, (0, 4): {'bw': -24}, (1, 4): {'bw': -23}, (2, 3): {'bw': -34}, (2, 4): {'bw': -24}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}","{'node_level': {1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 4): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}",[],-inf,-inf,True,True,False,0,[],5.0,5.0
5,5,5,955.0,1786.0,417674.1172054929,776032.4657678383,0.5347144456886898,0.5382173241840199,20,4,1,123.0,42558,7112,35446,0.04305705059203446,0.03971608149111405,4,474.74728662917295,123.0,9,10,True,"{0: 41, 3: 9, 8: 18, 6: 93, 2: 57, 1: 86, 5: 87, 4: 23, 7: 1}","{(0, 2): [(41, 85), (85, 57)], (1, 4): [(86, 67), (67, 31), (31, 23)], (1, 6): [(86, 89), (89, 93)], (1, 8): [(86, 10), (10, 27), (27, 18)], (2, 3): [(57, 30), (30, 9)], (2, 4): [(57, 16), (16, 95), (95, 23)], (2, 7): [(57, 61), (61, 1)], (2, 8): [(57, 61), (61, 55), (55, 18)], (4, 7): [(23, 87), (87, 1)], (5, 6): [(87, 36), (36, 93)]}","{(0, 41): {'cpu': 20}, (3, 9): {'cpu': 19}, (8, 18): {'cpu': 19}, (6, 93): {'cpu': 18}, (2, 57): {'cpu': 17}, (1, 86): {'cpu': 14}, (5, 87): {'cpu': 9}, (4, 23): {'cpu': 3}, (7, 1): {'cpu': 2}}","{((0, 2), (41, 85)): {'bw': 30}, ((0, 2), (85, 57)): {'bw': 30}, ((1, 4), (86, 67)): {'bw': 43}, ((1, 4), (67, 31)): {'bw': 43}, ((1, 4), (31, 23)): {'bw': 43}, ((1, 6), (86, 89)): {'bw': 18}, ((1, 6), (89, 93)): {'bw': 18}, ((1, 8), (86, 10)): {'bw': 45}, ((1, 8), (10, 27)): {'bw': 45}, ((1, 8), (27, 18)): {'bw': 45}, ((2, 3), (57, 30)): {'bw': 23}, ((2, 3), (30, 9)): {'bw': 23}, ((2, 4), (57, 16)): {'bw': 1}, ((2, 4), (16, 95)): {'bw': 1}, ((2, 4), (95, 23)): {'bw': 1}, ((2, 7), (57, 61)): {'bw': 6}, ((2, 7), (61, 1)): {'bw': 6}, ((2, 8), (57, 61)): {'bw': 42}, ((2, 8), (61, 55)): {'bw': 42}, ((2, 8), (55, 18)): {'bw': 42}, ((4, 7), (23, 87)): {'bw': 48}, ((4, 7), (87, 1)): {'bw': 48}, ((5, 6), (87, 36)): {'bw': 30}, ((5, 6), (36, 93)): {'bw': 30}}",824.0,407.0,242.0,121.0,286.0,121.0,286.0,121.0,703.0,417.0,0.49393203883495146,391191.7641824385,193222.1456580734,234.49289521610848,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -71}, 3: {'cpu': -71}, 8: {'cpu': -71}, 6: {'cpu': -72}, 2: {'cpu': -72}, 1: {'cpu': -75}, 5: {'cpu': -80}, 4: {'cpu': -85}, 7: {'cpu': -85}}, 'link_level': {(0, 2): {'bw': -25}, (1, 4): {'bw': -20}, (1, 6): {'bw': -33}, (1, 8): {'bw': -13}, (2, 3): {'bw': -37}, (2, 4): {'bw': -50}, (2, 7): {'bw': -60}, (2, 8): {'bw': -18}, (4, 7): {'bw': -45}, (5, 6): {'bw': -52}}, 'path_level': {(0, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 3): {}, (2, 4): {}, (2, 7): {}, (2, 8): {}, (4, 7): {}, (5, 6): {}}}","{'node_level': {0: {'cpu': 0}, 3: {'cpu': 0}, 8: {'cpu': 0}, 6: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 4: {'cpu': 0}, 7: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 4): {'bw': 0}, (1, 6): {'bw': 0}, (1, 8): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}, (2, 7): {'bw': 0}, (2, 8): {'bw': 0}, (4, 7): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 3): {}, (2, 4): {}, (2, 7): {}, (2, 8): {}, (4, 7): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],9.0,10.0
6,6,6,1158.0,2220.0,653798.755128071,1280850.6571885224,0.5216216216216216,0.5104410506086358,25,5,1,146.0,42124,7057,35067,0.05045748116254034,0.04998374512353709,5,1163.1755562688575,146.0,5,6,True,"{2: 2, 0: 45, 3: 98, 4: 12, 1: 81}","{(0, 2): [(45, 58), (58, 20), (20, 2)], (0, 4): [(45, 6), (6, 12)], (1, 2): [(81, 39), (39, 2)], (1, 4): [(81, 21), (21, 12)], (2, 4): [(2, 18), (18, 41), (41, 12)], (3, 4): [(98, 41), (41, 12)]}","{(2, 2): {'cpu': 17}, (0, 45): {'cpu': 16}, (3, 98): {'cpu': 10}, (4, 12): {'cpu': 9}, (1, 81): {'cpu': 3}}","{((0, 2), (45, 58)): {'bw': 44}, ((0, 2), (58, 20)): {'bw': 44}, ((0, 2), (20, 2)): {'bw': 44}, ((0, 4), (45, 6)): {'bw': 13}, ((0, 4), (6, 12)): {'bw': 13}, ((1, 2), (81, 39)): {'bw': 6}, ((1, 2), (39, 2)): {'bw': 6}, ((1, 4), (81, 21)): {'bw': 38}, ((1, 4), (21, 12)): {'bw': 38}, ((2, 4), (2, 18)): {'bw': 39}, ((2, 4), (18, 41)): {'bw': 39}, ((2, 4), (41, 12)): {'bw': 39}, ((3, 4), (98, 41)): {'bw': 8}, ((3, 4), (41, 12)): {'bw': 8}}",434.0,203.0,110.0,55.0,148.0,55.0,148.0,55.0,379.0,231.0,0.46774193548387094,504818.19142068416,236124.63792257805,544.0659859967236,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -70}, 0: {'cpu': -71}, 3: {'cpu': -77}, 4: {'cpu': -77}, 1: {'cpu': -83}}, 'link_level': {(0, 2): {'bw': -9}, (0, 4): {'bw': -45}, (1, 2): {'bw': -67}, (1, 4): {'bw': -24}, (2, 4): {'bw': -12}, (3, 4): {'bw': -4}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {2: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 2): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],5.0,6.0
6,6,5,1158.0,2220.0,653798.755128071,1280850.6571885224,0.5216216216216216,0.5104410506086358,25,6,0,158.72096779511514,42399,7140,35259,0.03928955866523143,0.04478218465539663,0,125.72096779511513,33.0,7,8,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],,
7,7,6,1431.0,2725.0,668071.362267394,1307252.3663656584,0.5251376146788991,0.511050030932225,27,7,1,172.0,41894,7072,34822,0.0484391819160388,0.056621153012570424,6,52.28061223195255,172.0,7,9,True,"{2: 44, 3: 99, 0: 53, 4: 39, 1: 97, 6: 1, 5: 19}","{(0, 2): [(53, 25), (25, 44)], (1, 2): [(97, 2), (2, 39), (39, 44)], (1, 6): [(97, 2), (2, 18), (18, 1)], (2, 3): [(44, 15), (15, 99)], (2, 5): [(44, 15), (15, 19)], (2, 6): [(44, 73), (73, 1)], (3, 5): [(99, 15), (15, 19)], (3, 6): [(99, 7), (7, 1)], (4, 5): [(39, 52), (52, 19)]}","{(2, 44): {'cpu': 16}, (3, 99): {'cpu': 15}, (0, 53): {'cpu': 13}, (4, 39): {'cpu': 8}, (1, 97): {'cpu': 7}, (6, 1): {'cpu': 6}, (5, 19): {'cpu': 3}}","{((0, 2), (53, 25)): {'bw': 17}, ((0, 2), (25, 44)): {'bw': 17}, ((1, 2), (97, 2)): {'bw': 7}, ((1, 2), (2, 39)): {'bw': 7}, ((1, 2), (39, 44)): {'bw': 7}, ((1, 6), (97, 2)): {'bw': 20}, ((1, 6), (2, 18)): {'bw': 20}, ((1, 6), (18, 1)): {'bw': 20}, ((2, 3), (44, 15)): {'bw': 25}, ((2, 3), (15, 99)): {'bw': 25}, ((2, 5), (44, 15)): {'bw': 2}, ((2, 5), (15, 19)): {'bw': 2}, ((2, 6), (44, 73)): {'bw': 16}, ((2, 6), (73, 1)): {'bw': 16}, ((3, 5), (99, 15)): {'bw': 50}, ((3, 5), (15, 19)): {'bw': 50}, ((3, 6), (99, 7)): {'bw': 45}, ((3, 6), (7, 1)): {'bw': 45}, ((4, 5), (39, 52)): {'bw': 23}, ((4, 5), (52, 19)): {'bw': 23}}",505.0,273.0,136.0,68.0,205.0,68.0,205.0,68.0,437.0,232.0,0.5405940594059406,26401.70917713604,14272.607139323047,28.262588394699105,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -84}, 3: {'cpu': -85}, 0: {'cpu': -85}, 4: {'cpu': -89}, 1: {'cpu': -79}, 6: {'cpu': -79}, 5: {'cpu': -82}}, 'link_level': {(0, 2): {'bw': -70}, (1, 2): {'bw': -58}, (1, 6): {'bw': -16}, (2, 3): {'bw': -69}, (2, 5): {'bw': -71}, (2, 6): {'bw': -25}, (3, 5): {'bw': -19}, (3, 6): {'bw': -14}, (4, 5): {'bw': -42}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}}}","{'node_level': {2: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}, 6: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 2): {'bw': 0}, (1, 6): {'bw': 0}, (2, 3): {'bw': 0}, (2, 5): {'bw': 0}, (2, 6): {'bw': 0}, (3, 5): {'bw': 0}, (3, 6): {'bw': 0}, (4, 5): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}}}",[],-inf,-inf,True,True,False,0,[],7.0,9.0
8,8,7,1599.0,3122.0,962089.3093883777,2002044.7771217923,0.5121716848174247,0.48055334245396353,28,8,1,194.0,41497,7035,34462,0.05341765339074278,0.06637407889033375,7,1750.1068281010932,194.0,4,5,True,"{3: 39, 2: 23, 0: 43, 1: 53}","{(0, 1): [(43, 7), (7, 47), (47, 53)], (0, 2): [(43, 11), (11, 87), (87, 23)], (0, 3): [(43, 7), (7, 10), (10, 39)], (1, 2): [(53, 25), (25, 31), (31, 23)], (1, 3): [(53, 52), (52, 39)]}","{(3, 39): {'cpu': 17}, (2, 23): {'cpu': 12}, (0, 43): {'cpu': 4}, (1, 53): {'cpu': 4}}","{((0, 1), (43, 7)): {'bw': 23}, ((0, 1), (7, 47)): {'bw': 23}, ((0, 1), (47, 53)): {'bw': 23}, ((0, 2), (43, 11)): {'bw': 30}, ((0, 2), (11, 87)): {'bw': 30}, ((0, 2), (87, 23)): {'bw': 30}, ((0, 3), (43, 7)): {'bw': 25}, ((0, 3), (7, 10)): {'bw': 25}, ((0, 3), (10, 39)): {'bw': 25}, ((1, 2), (53, 25)): {'bw': 20}, ((1, 2), (25, 31)): {'bw': 20}, ((1, 2), (31, 23)): {'bw': 20}, ((1, 3), (53, 52)): {'bw': 33}, ((1, 3), (52, 39)): {'bw': 33}}",397.0,168.0,74.0,37.0,131.0,37.0,131.0,37.0,360.0,229.0,0.42317380352644834,694792.410756134,294017.9471209837,740.5993630251477,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -72}, 2: {'cpu': -73}, 0: {'cpu': -81}, 1: {'cpu': -81}}, 'link_level': {(0, 1): {'bw': -30}, (0, 2): {'bw': -19}, (0, 3): {'bw': -18}, (1, 2): {'bw': 0}, (1, 3): {'bw': -1}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 2): {}, (1, 3): {}}}","{'node_level': {3: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (1, 2): {'bw': 0}, (1, 3): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 2): {}, (1, 3): {}}}",[],-inf,-inf,True,True,False,0,[],4.0,5.0
9,9,8,1857.0,3653.0,1098678.9136890178,2283165.2417870634,0.508349301943608,0.48120867188266553,31,9,1,223.0,40966,6975,33991,0.06149085037674917,0.07913415691374082,8,529.4170709327137,223.0,6,8,True,"{2: 73, 3: 79, 5: 99, 4: 26, 0: 44, 1: 52}","{(0, 1): [(44, 58), (58, 52)], (0, 2): [(44, 73)], (0, 4): [(44, 26)], (0, 5): [(44, 15), (15, 99)], (1, 3): [(52, 16), (16, 5), (5, 79)], (1, 4): [(52, 5), (5, 26)], (2, 5): [(73, 56), (56, 99)], (4, 5): [(26, 61), (61, 14), (14, 99)]}","{(2, 73): {'cpu': 19}, (3, 79): {'cpu': 19}, (5, 99): {'cpu': 9}, (4, 26): {'cpu': 7}, (0, 44): {'cpu': 5}, (1, 52): {'cpu': 1}}","{((0, 1), (44, 58)): {'bw': 49}, ((0, 1), (58, 52)): {'bw': 49}, ((0, 2), (44, 73)): {'bw': 9}, ((0, 4), (44, 26)): {'bw': 0}, ((0, 5), (44, 15)): {'bw': 19}, ((0, 5), (15, 99)): {'bw': 19}, ((1, 3), (52, 16)): {'bw': 36}, ((1, 3), (16, 5)): {'bw': 36}, ((1, 3), (5, 79)): {'bw': 36}, ((1, 4), (52, 5)): {'bw': 17}, ((1, 4), (5, 26)): {'bw': 17}, ((2, 5), (73, 56)): {'bw': 20}, ((2, 5), (56, 99)): {'bw': 20}, ((4, 5), (26, 61)): {'bw': 48}, ((4, 5), (61, 14)): {'bw': 48}, ((4, 5), (14, 99)): {'bw': 48}}",531.0,258.0,120.0,60.0,198.0,60.0,198.0,60.0,471.0,273.0,0.4858757062146893,281120.464665271,136589.60430064015,257.23089322154453,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -66}, 3: {'cpu': -66}, 5: {'cpu': -76}, 4: {'cpu': -77}, 0: {'cpu': -79}, 1: {'cpu': -83}}, 'link_level': {(0, 1): {'bw': -33}, (0, 2): {'bw': -66}, (0, 4): {'bw': -81}, (0, 5): {'bw': 0}, (1, 3): {'bw': -18}, (1, 4): {'bw': -7}, (2, 5): {'bw': -61}, (4, 5): {'bw': -9}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 4): {}, (0, 5): {}, (1, 3): {}, (1, 4): {}, (2, 5): {}, (4, 5): {}}}","{'node_level': {2: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (0, 5): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 5): {'bw': 0}, (4, 5): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 4): {}, (0, 5): {}, (1, 3): {}, (1, 4): {}, (2, 5): {}, (4, 5): {}}}",[],-inf,-inf,True,True,False,0,[],6.0,8.0
