v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_placed_nodes,num_routed_links
1,1,1,190.0,329.0,23886.983881071876,41362.19840459288,0.5775075987841946,0.5775075987841946,7,0,1,33.0,41031,7518,33513,0.010919615840021102,0.007286945703367964,0,125.72096779511513,33.0,7,8,True,"{0: 91, 2: 50, 6: 66, 4: 67, 3: 86, 1: 14, 5: 29}","{(0, 3): [(91, 5), (5, 32), (32, 86)], (0, 4): [(91, 5), (5, 67)], (0, 6): [(91, 46), (46, 66)], (1, 3): [(14, 88), (88, 32), (32, 86)], (1, 4): [(14, 65), (65, 67)], (2, 4): [(50, 33), (33, 67)], (3, 4): [(86, 32), (32, 5), (5, 67)], (5, 6): [(29, 97), (97, 66)]}","{(0, 91): {'cpu': 20}, (2, 50): {'cpu': 19}, (6, 66): {'cpu': 19}, (4, 67): {'cpu': 14}, (3, 86): {'cpu': 8}, (1, 14): {'cpu': 3}, (5, 29): {'cpu': 0}}","{((0, 3), (91, 5)): {'bw': 8}, ((0, 3), (5, 32)): {'bw': 8}, ((0, 3), (32, 86)): {'bw': 8}, ((0, 4), (91, 5)): {'bw': 7}, ((0, 4), (5, 67)): {'bw': 7}, ((0, 6), (91, 46)): {'bw': 23}, ((0, 6), (46, 66)): {'bw': 23}, ((1, 3), (14, 88)): {'bw': 13}, ((1, 3), (88, 32)): {'bw': 13}, ((1, 3), (32, 86)): {'bw': 13}, ((1, 4), (14, 65)): {'bw': 17}, ((1, 4), (65, 67)): {'bw': 17}, ((2, 4), (50, 33)): {'bw': 0}, ((2, 4), (33, 67)): {'bw': 0}, ((3, 4), (86, 32)): {'bw': 11}, ((3, 4), (32, 5)): {'bw': 11}, ((3, 4), (5, 67)): {'bw': 11}, ((5, 6), (29, 97)): {'bw': 28}, ((5, 6), (97, 66)): {'bw': 28}}",329.0,190.0,166.0,83.0,107.0,83.0,107.0,83.0,246.0,139.0,0.5775075987841946,41362.19840459288,23886.983881071876,72.604814228182,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -80}, 2: {'cpu': -80}, 6: {'cpu': -80}, 4: {'cpu': -84}, 3: {'cpu': -90}, 1: {'cpu': -94}, 5: {'cpu': -97}}, 'link_level': {(0, 3): {'bw': -48}, (0, 4): {'bw': -41}, (0, 6): {'bw': -42}, (1, 3): {'bw': -52}, (1, 4): {'bw': -63}, (2, 4): {'bw': -69}, (3, 4): {'bw': -41}, (5, 6): {'bw': -27}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}","{'node_level': {0: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 6): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],7.0,8.0
2,2,2,236.0,459.0,35123.79613037254,73118.4069352252,0.514161220043573,0.48036872796597346,8,1,1,49.0,40901,7514,33387,0.011445862386528116,0.011019283746556474,1,244.27852715871012,49.0,2,1,True,"{0: 29, 1: 72}","{(0, 1): [(29, 30), (30, 55), (55, 72)]}","{(0, 29): {'cpu': 4}, (1, 72): {'cpu': 0}}","{((0, 1), (29, 30)): {'bw': 42}, ((0, 1), (30, 55)): {'bw': 42}, ((0, 1), (55, 72)): {'bw': 42}}",130.0,46.0,8.0,4.0,42.0,4.0,42.0,4.0,126.0,84.0,0.35384615384615387,31756.208530632317,11236.812249300665,86.43701730231281,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -93}, 1: {'cpu': -97}}, 'link_level': {(0, 1): {'bw': -10}}, 'path_level': {(0, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],2.0,1.0
3,3,3,347.0,635.0,164378.49076317827,278062.78761426854,0.5464566929133858,0.5911560197375484,12,2,1,76.0,40725,7455,33270,0.01920799894750691,0.014485026215231511,2,1164.4567084036553,76.0,5,6,True,"{1: 72, 2: 79, 0: 20, 3: 94, 4: 44}","{(0, 1): [(20, 3), (3, 44), (44, 72)], (0, 3): [(20, 52), (52, 88), (88, 94)], (1, 3): [(72, 88), (88, 94)], (1, 4): [(72, 44)], (2, 4): [(79, 13), (13, 44)], (3, 4): [(94, 13), (13, 44)]}","{(1, 72): {'cpu': 20}, (2, 79): {'cpu': 18}, (0, 20): {'cpu': 14}, (3, 94): {'cpu': 4}, (4, 44): {'cpu': 3}}","{((0, 1), (20, 3)): {'bw': 19}, ((0, 1), (3, 44)): {'bw': 19}, ((0, 1), (44, 72)): {'bw': 19}, ((0, 3), (20, 52)): {'bw': 7}, ((0, 3), (52, 88)): {'bw': 7}, ((0, 3), (88, 94)): {'bw': 7}, ((1, 3), (72, 88)): {'bw': 8}, ((1, 3), (88, 94)): {'bw': 8}, ((1, 4), (72, 44)): {'bw': 13}, ((2, 4), (79, 13)): {'bw': 5}, ((2, 4), (13, 44)): {'bw': 5}, ((3, 4), (94, 13)): {'bw': 0}, ((3, 4), (13, 44)): {'bw': 0}}",176.0,111.0,118.0,59.0,52.0,59.0,52.0,59.0,117.0,65.0,0.6306818181818182,204944.38067904333,129254.69463280574,734.4016740500326,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -77}, 2: {'cpu': -79}, 0: {'cpu': -82}, 3: {'cpu': -92}, 4: {'cpu': -92}}, 'link_level': {(0, 1): {'bw': -37}, (0, 3): {'bw': -55}, (1, 3): {'bw': -47}, (1, 4): {'bw': -33}, (2, 4): {'bw': -62}, (3, 4): {'bw': -79}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {1: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],5.0,6.0
4,4,4,548.0,1094.0,224451.97154741955,415245.5123902225,0.5009140767824497,0.5405283497356456,16,3,1,97.0,40266,7402,32864,0.026180765688725183,0.02651144879883882,3,298.87303872756866,97.0,5,5,True,"{1: 48, 2: 9, 3: 14, 0: 63, 4: 81}","{(0, 2): [(63, 16), (16, 44), (44, 9)], (0, 4): [(63, 8), (8, 81)], (1, 4): [(48, 38), (38, 96), (96, 81)], (2, 3): [(9, 12), (12, 88), (88, 14)], (2, 4): [(9, 12), (12, 81)]}","{(1, 48): {'cpu': 15}, (2, 9): {'cpu': 15}, (3, 14): {'cpu': 11}, (0, 63): {'cpu': 8}, (4, 81): {'cpu': 4}}","{((0, 2), (63, 16)): {'bw': 39}, ((0, 2), (16, 44)): {'bw': 39}, ((0, 2), (44, 9)): {'bw': 39}, ((0, 4), (63, 8)): {'bw': 28}, ((0, 4), (8, 81)): {'bw': 28}, ((1, 4), (48, 38)): {'bw': 45}, ((1, 4), (38, 96)): {'bw': 45}, ((1, 4), (96, 81)): {'bw': 45}, ((2, 3), (9, 12)): {'bw': 26}, ((2, 3), (12, 88)): {'bw': 26}, ((2, 3), (88, 14)): {'bw': 26}, ((2, 4), (9, 12)): {'bw': 10}, ((2, 4), (12, 81)): {'bw': 10}}",459.0,201.0,106.0,53.0,148.0,53.0,148.0,53.0,406.0,258.0,0.43790849673202614,137182.724775954,60073.4807842413,130.87904310292222,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -80}, 2: {'cpu': -79}, 3: {'cpu': -83}, 0: {'cpu': -86}, 4: {'cpu': -90}}, 'link_level': {(0, 2): {'bw': -28}, (0, 4): {'bw': -28}, (1, 4): {'bw': -9}, (2, 3): {'bw': -30}, (2, 4): {'bw': -20}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}","{'node_level': {1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 4): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}",[],-inf,-inf,True,True,False,0,[],5.0,5.0
5,5,5,955.0,1828.0,417674.1172054929,763710.0207760355,0.5224288840262582,0.5469014492975723,22,4,1,123.0,39532,7281,32251,0.04209972372056303,0.04466956959625579,4,474.74728662917295,123.0,9,10,True,"{0: 29, 3: 83, 8: 87, 6: 95, 2: 40, 1: 44, 5: 56, 4: 71, 7: 94}","{(0, 2): [(29, 77), (77, 40)], (1, 4): [(44, 93), (93, 71)], (1, 6): [(44, 95)], (1, 8): [(44, 3), (3, 87)], (2, 3): [(40, 77), (77, 35), (35, 83)], (2, 4): [(40, 15), (15, 71)], (2, 7): [(40, 72), (72, 88), (88, 94)], (2, 8): [(40, 15), (15, 87)], (4, 7): [(71, 54), (54, 94)], (5, 6): [(56, 47), (47, 39), (39, 95)]}","{(0, 29): {'cpu': 20}, (3, 83): {'cpu': 19}, (8, 87): {'cpu': 19}, (6, 95): {'cpu': 18}, (2, 40): {'cpu': 17}, (1, 44): {'cpu': 14}, (5, 56): {'cpu': 9}, (4, 71): {'cpu': 3}, (7, 94): {'cpu': 2}}","{((0, 2), (29, 77)): {'bw': 30}, ((0, 2), (77, 40)): {'bw': 30}, ((1, 4), (44, 93)): {'bw': 43}, ((1, 4), (93, 71)): {'bw': 43}, ((1, 6), (44, 95)): {'bw': 18}, ((1, 8), (44, 3)): {'bw': 45}, ((1, 8), (3, 87)): {'bw': 45}, ((2, 3), (40, 77)): {'bw': 23}, ((2, 3), (77, 35)): {'bw': 23}, ((2, 3), (35, 83)): {'bw': 23}, ((2, 4), (40, 15)): {'bw': 1}, ((2, 4), (15, 71)): {'bw': 1}, ((2, 7), (40, 72)): {'bw': 6}, ((2, 7), (72, 88)): {'bw': 6}, ((2, 7), (88, 94)): {'bw': 6}, ((2, 8), (40, 15)): {'bw': 42}, ((2, 8), (15, 87)): {'bw': 42}, ((4, 7), (71, 54)): {'bw': 48}, ((4, 7), (54, 94)): {'bw': 48}, ((5, 6), (56, 47)): {'bw': 30}, ((5, 6), (47, 39)): {'bw': 30}, ((5, 6), (39, 95)): {'bw': 30}}",734.0,407.0,242.0,121.0,286.0,121.0,286.0,121.0,613.0,327.0,0.5544959128065395,348464.5083858129,193222.1456580734,263.2454300518711,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -73}, 3: {'cpu': -74}, 8: {'cpu': -74}, 6: {'cpu': -75}, 2: {'cpu': -75}, 1: {'cpu': -78}, 5: {'cpu': -83}, 4: {'cpu': -89}, 7: {'cpu': -90}}, 'link_level': {(0, 2): {'bw': -30}, (1, 4): {'bw': -13}, (1, 6): {'bw': -47}, (1, 8): {'bw': -2}, (2, 3): {'bw': -7}, (2, 4): {'bw': -49}, (2, 7): {'bw': -41}, (2, 8): {'bw': -8}, (4, 7): {'bw': -4}, (5, 6): {'bw': -26}}, 'path_level': {(0, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 3): {}, (2, 4): {}, (2, 7): {}, (2, 8): {}, (4, 7): {}, (5, 6): {}}}","{'node_level': {0: {'cpu': 0}, 3: {'cpu': 0}, 8: {'cpu': 0}, 6: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 4: {'cpu': 0}, 7: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 4): {'bw': 0}, (1, 6): {'bw': 0}, (1, 8): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}, (2, 7): {'bw': 0}, (2, 8): {'bw': 0}, (4, 7): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 3): {}, (2, 4): {}, (2, 7): {}, (2, 8): {}, (4, 7): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],9.0,10.0
6,6,6,1158.0,2282.0,653798.755128071,1291791.7233220967,0.5074496056091148,0.5061177768245013,24,5,1,146.0,39078,7226,31852,0.04933561373503481,0.05648864006635268,5,1163.1755562688575,146.0,5,6,True,"{2: 81, 0: 86, 3: 94, 4: 6, 1: 28}","{(0, 2): [(86, 44), (44, 88), (88, 81)], (0, 4): [(86, 32), (32, 71), (71, 6)], (1, 2): [(28, 8), (8, 81)], (1, 4): [(28, 82), (82, 15), (15, 6)], (2, 4): [(81, 71), (71, 6)], (3, 4): [(94, 58), (58, 29), (29, 6)]}","{(2, 81): {'cpu': 17}, (0, 86): {'cpu': 16}, (3, 94): {'cpu': 10}, (4, 6): {'cpu': 9}, (1, 28): {'cpu': 3}}","{((0, 2), (86, 44)): {'bw': 44}, ((0, 2), (44, 88)): {'bw': 44}, ((0, 2), (88, 81)): {'bw': 44}, ((0, 4), (86, 32)): {'bw': 13}, ((0, 4), (32, 71)): {'bw': 13}, ((0, 4), (71, 6)): {'bw': 13}, ((1, 2), (28, 8)): {'bw': 6}, ((1, 2), (8, 81)): {'bw': 6}, ((1, 4), (28, 82)): {'bw': 38}, ((1, 4), (82, 15)): {'bw': 38}, ((1, 4), (15, 6)): {'bw': 38}, ((2, 4), (81, 71)): {'bw': 39}, ((2, 4), (71, 6)): {'bw': 39}, ((3, 4), (94, 58)): {'bw': 8}, ((3, 4), (58, 29)): {'bw': 8}, ((3, 4), (29, 6)): {'bw': 8}}",454.0,203.0,110.0,55.0,148.0,55.0,148.0,55.0,399.0,251.0,0.44713656387665196,528081.7025460612,236124.63792257805,520.0983214153702,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -73}, 0: {'cpu': -74}, 3: {'cpu': -80}, 4: {'cpu': -80}, 1: {'cpu': -86}}, 'link_level': {(0, 2): {'bw': -24}, (0, 4): {'bw': -28}, (1, 2): {'bw': -53}, (1, 4): {'bw': -17}, (2, 4): {'bw': -13}, (3, 4): {'bw': -43}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {2: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 2): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],5.0,6.0
6,6,5,1158.0,2282.0,653798.755128071,1291791.7233220967,0.5074496056091148,0.5061177768245013,24,6,0,158.72096779511514,39407,7309,32098,0.03841599789501382,0.049201694362984716,0,125.72096779511513,33.0,7,8,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],,
7,7,6,1431.0,2850.0,668071.362267394,1321487.1110698457,0.5021052631578947,0.5055451216066259,26,7,1,172.0,38839,7241,31598,0.04736218918563351,0.06401255961373264,6,52.28061223195255,172.0,7,9,True,"{2: 91, 3: 50, 0: 66, 4: 67, 1: 33, 6: 71, 5: 32}","{(0, 2): [(66, 46), (46, 91)], (1, 2): [(33, 72), (72, 91)], (1, 6): [(33, 93), (93, 29), (29, 71)], (2, 3): [(91, 4), (4, 6), (6, 50)], (2, 5): [(91, 5), (5, 32)], (2, 6): [(91, 45), (45, 71)], (3, 5): [(50, 62), (62, 32)], (3, 6): [(50, 6), (6, 29), (29, 71)], (4, 5): [(67, 5), (5, 32)]}","{(2, 91): {'cpu': 16}, (3, 50): {'cpu': 15}, (0, 66): {'cpu': 13}, (4, 67): {'cpu': 8}, (1, 33): {'cpu': 7}, (6, 71): {'cpu': 6}, (5, 32): {'cpu': 3}}","{((0, 2), (66, 46)): {'bw': 17}, ((0, 2), (46, 91)): {'bw': 17}, ((1, 2), (33, 72)): {'bw': 7}, ((1, 2), (72, 91)): {'bw': 7}, ((1, 6), (33, 93)): {'bw': 20}, ((1, 6), (93, 29)): {'bw': 20}, ((1, 6), (29, 71)): {'bw': 20}, ((2, 3), (91, 4)): {'bw': 25}, ((2, 3), (4, 6)): {'bw': 25}, ((2, 3), (6, 50)): {'bw': 25}, ((2, 5), (91, 5)): {'bw': 2}, ((2, 5), (5, 32)): {'bw': 2}, ((2, 6), (91, 45)): {'bw': 16}, ((2, 6), (45, 71)): {'bw': 16}, ((3, 5), (50, 62)): {'bw': 50}, ((3, 5), (62, 32)): {'bw': 50}, ((3, 6), (50, 6)): {'bw': 45}, ((3, 6), (6, 29)): {'bw': 45}, ((3, 6), (29, 71)): {'bw': 45}, ((4, 5), (67, 5)): {'bw': 23}, ((4, 5), (5, 32)): {'bw': 23}}",568.0,273.0,136.0,68.0,205.0,68.0,205.0,68.0,500.0,295.0,0.48063380281690143,29695.38774774905,14272.607139323047,25.127829470639167,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -84}, 3: {'cpu': -84}, 0: {'cpu': -86}, 4: {'cpu': -90}, 1: {'cpu': -82}, 6: {'cpu': -83}, 5: {'cpu': -85}}, 'link_level': {(0, 2): {'bw': -48}, (1, 2): {'bw': -53}, (1, 6): {'bw': -48}, (2, 3): {'bw': -36}, (2, 5): {'bw': -54}, (2, 6): {'bw': -44}, (3, 5): {'bw': -33}, (3, 6): {'bw': -8}, (4, 5): {'bw': -46}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}}}","{'node_level': {2: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}, 6: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 2): {'bw': 0}, (1, 6): {'bw': 0}, (2, 3): {'bw': 0}, (2, 5): {'bw': 0}, (2, 6): {'bw': 0}, (3, 5): {'bw': 0}, (3, 6): {'bw': 0}, (4, 5): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}}}",[],-inf,-inf,True,True,False,0,[],7.0,9.0
8,8,7,1599.0,3217.0,962089.3093883777,1963776.3169829468,0.49704693814112527,0.48991797134333825,29,8,1,194.0,38472,7204,31268,0.05222996974082361,0.07378773067922628,7,1750.1068281010932,194.0,4,5,True,"{3: 67, 2: 37, 0: 11, 1: 16}","{(0, 1): [(11, 88), (88, 44), (44, 16)], (0, 2): [(11, 81), (81, 37)], (0, 3): [(11, 32), (32, 5), (5, 67)], (1, 2): [(16, 41), (41, 47), (47, 37)], (1, 3): [(16, 41), (41, 67)]}","{(3, 67): {'cpu': 17}, (2, 37): {'cpu': 12}, (0, 11): {'cpu': 4}, (1, 16): {'cpu': 4}}","{((0, 1), (11, 88)): {'bw': 23}, ((0, 1), (88, 44)): {'bw': 23}, ((0, 1), (44, 16)): {'bw': 23}, ((0, 2), (11, 81)): {'bw': 30}, ((0, 2), (81, 37)): {'bw': 30}, ((0, 3), (11, 32)): {'bw': 25}, ((0, 3), (32, 5)): {'bw': 25}, ((0, 3), (5, 67)): {'bw': 25}, ((1, 2), (16, 41)): {'bw': 20}, ((1, 2), (41, 47)): {'bw': 20}, ((1, 2), (47, 37)): {'bw': 20}, ((1, 3), (16, 41)): {'bw': 33}, ((1, 3), (41, 67)): {'bw': 33}}",367.0,168.0,74.0,37.0,131.0,37.0,131.0,37.0,330.0,199.0,0.45776566757493187,642289.2059131012,294017.9471209837,801.1388204931435,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -73}, 2: {'cpu': -76}, 0: {'cpu': -83}, 1: {'cpu': -83}}, 'link_level': {(0, 1): {'bw': -13}, (0, 2): {'bw': -25}, (0, 3): {'bw': -21}, (1, 2): {'bw': -31}, (1, 3): {'bw': -3}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 2): {}, (1, 3): {}}}","{'node_level': {3: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (1, 2): {'bw': 0}, (1, 3): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 2): {}, (1, 3): {}}}",[],-inf,-inf,True,True,False,0,[],4.0,5.0
9,9,8,1857.0,3730.0,1098678.9136890178,2235367.274371429,0.4978552278820375,0.4914981651048637,31,9,1,223.0,37959,7144,30815,0.06012366793842916,0.0872063745964039,8,529.4170709327137,223.0,6,8,True,"{2: 2, 3: 14, 5: 28, 4: 55, 0: 63, 1: 66}","{(0, 1): [(63, 15), (15, 66)], (0, 2): [(63, 6), (6, 4), (4, 2)], (0, 4): [(63, 22), (22, 55)], (0, 5): [(63, 8), (8, 28)], (1, 3): [(66, 43), (43, 14)], (1, 4): [(66, 69), (69, 55)], (2, 5): [(2, 82), (82, 28)], (4, 5): [(55, 21), (21, 93), (93, 28)]}","{(2, 2): {'cpu': 19}, (3, 14): {'cpu': 19}, (5, 28): {'cpu': 9}, (4, 55): {'cpu': 7}, (0, 63): {'cpu': 5}, (1, 66): {'cpu': 1}}","{((0, 1), (63, 15)): {'bw': 49}, ((0, 1), (15, 66)): {'bw': 49}, ((0, 2), (63, 6)): {'bw': 9}, ((0, 2), (6, 4)): {'bw': 9}, ((0, 2), (4, 2)): {'bw': 9}, ((0, 4), (63, 22)): {'bw': 0}, ((0, 4), (22, 55)): {'bw': 0}, ((0, 5), (63, 8)): {'bw': 19}, ((0, 5), (8, 28)): {'bw': 19}, ((1, 3), (66, 43)): {'bw': 36}, ((1, 3), (43, 14)): {'bw': 36}, ((1, 4), (66, 69)): {'bw': 17}, ((1, 4), (69, 55)): {'bw': 17}, ((2, 5), (2, 82)): {'bw': 20}, ((2, 5), (82, 28)): {'bw': 20}, ((4, 5), (55, 21)): {'bw': 48}, ((4, 5), (21, 93)): {'bw': 48}, ((4, 5), (93, 28)): {'bw': 48}}",513.0,258.0,120.0,60.0,198.0,60.0,198.0,60.0,453.0,255.0,0.5029239766081871,271590.9573884821,136589.60430064015,266.25653859773905,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -67}, 3: {'cpu': -67}, 5: {'cpu': -77}, 4: {'cpu': -79}, 0: {'cpu': -81}, 1: {'cpu': -85}}, 'link_level': {(0, 1): {'bw': -10}, (0, 2): {'bw': -61}, (0, 4): {'bw': -69}, (0, 5): {'bw': -9}, (1, 3): {'bw': -14}, (1, 4): {'bw': -36}, (2, 5): {'bw': -22}, (4, 5): {'bw': -13}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 4): {}, (0, 5): {}, (1, 3): {}, (1, 4): {}, (2, 5): {}, (4, 5): {}}}","{'node_level': {2: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (0, 5): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 5): {'bw': 0}, (4, 5): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 4): {}, (0, 5): {}, (1, 3): {}, (1, 4): {}, (2, 5): {}, (4, 5): {}}}",[],-inf,-inf,True,True,False,0,[],6.0,8.0
