v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_placed_nodes,num_routed_links
1,1,1,190.0,368.0,23886.983881071876,46265.31614860237,0.5163043478260869,0.516304347826087,7,0,1,33.0,42386,7259,35127,0.011304821574502855,0.00804811928159943,0,125.72096779511513,33.0,7,8,True,"{0: 16, 2: 18, 6: 22, 4: 68, 3: 72, 1: 12, 5: 29}","{(0, 3): [(16, 0), (0, 38), (38, 72)], (0, 4): [(16, 92), (92, 57), (57, 68)], (0, 6): [(16, 41), (41, 22)], (1, 3): [(12, 10), (10, 72)], (1, 4): [(12, 13), (13, 57), (57, 68)], (2, 4): [(18, 7), (7, 78), (78, 68)], (3, 4): [(72, 86), (86, 78), (78, 68)], (5, 6): [(29, 53), (53, 41), (41, 22)]}","{(0, 16): {'cpu': 20}, (2, 18): {'cpu': 19}, (6, 22): {'cpu': 19}, (4, 68): {'cpu': 14}, (3, 72): {'cpu': 8}, (1, 12): {'cpu': 3}, (5, 29): {'cpu': 0}}","{((0, 3), (16, 0)): {'bw': 8}, ((0, 3), (0, 38)): {'bw': 8}, ((0, 3), (38, 72)): {'bw': 8}, ((0, 4), (16, 92)): {'bw': 7}, ((0, 4), (92, 57)): {'bw': 7}, ((0, 4), (57, 68)): {'bw': 7}, ((0, 6), (16, 41)): {'bw': 23}, ((0, 6), (41, 22)): {'bw': 23}, ((1, 3), (12, 10)): {'bw': 13}, ((1, 3), (10, 72)): {'bw': 13}, ((1, 4), (12, 13)): {'bw': 17}, ((1, 4), (13, 57)): {'bw': 17}, ((1, 4), (57, 68)): {'bw': 17}, ((2, 4), (18, 7)): {'bw': 0}, ((2, 4), (7, 78)): {'bw': 0}, ((2, 4), (78, 68)): {'bw': 0}, ((3, 4), (72, 86)): {'bw': 11}, ((3, 4), (86, 78)): {'bw': 11}, ((3, 4), (78, 68)): {'bw': 11}, ((5, 6), (29, 53)): {'bw': 28}, ((5, 6), (53, 41)): {'bw': 28}, ((5, 6), (41, 22)): {'bw': 28}}",368.0,190.0,166.0,83.0,107.0,83.0,107.0,83.0,285.0,178.0,0.5163043478260869,46265.31614860237,23886.983881071876,64.91028228552139,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -80}, 2: {'cpu': -81}, 6: {'cpu': -80}, 4: {'cpu': -85}, 3: {'cpu': -90}, 1: {'cpu': -94}, 5: {'cpu': -97}}, 'link_level': {(0, 3): {'bw': -54}, (0, 4): {'bw': -52}, (0, 6): {'bw': -30}, (1, 3): {'bw': -39}, (1, 4): {'bw': -44}, (2, 4): {'bw': -50}, (3, 4): {'bw': -66}, (5, 6): {'bw': -22}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}","{'node_level': {0: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 6): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],7.0,8.0
2,2,2,236.0,456.0,35123.79613037254,67761.82653856886,0.5175438596491229,0.51834193268655,8,1,1,49.0,42298,7255,35043,0.01184963225279212,0.010420196543544535,1,244.27852715871012,49.0,2,1,True,"{0: 29, 1: 95}","{(0, 1): [(29, 90), (90, 95)]}","{(0, 29): {'cpu': 4}, (1, 95): {'cpu': 0}}","{((0, 1), (29, 90)): {'bw': 42}, ((0, 1), (90, 95)): {'bw': 42}}",88.0,46.0,8.0,4.0,42.0,4.0,42.0,4.0,84.0,42.0,0.5227272727272727,21496.51038996649,11236.812249300665,127.69104828750756,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -93}, 1: {'cpu': -95}}, 'link_level': {(0, 1): {'bw': -10}}, 'path_level': {(0, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],2.0,1.0
3,3,3,347.0,619.0,164378.49076317827,257568.27000836466,0.5605815831987075,0.6381938689802125,10,2,1,76.0,42135,7196,34939,0.019885589757559274,0.013357054105952781,2,1164.4567084036553,76.0,5,6,True,"{1: 95, 2: 12, 0: 25, 3: 29, 4: 38}","{(0, 1): [(25, 34), (34, 95)], (0, 3): [(25, 97), (97, 29)], (1, 3): [(95, 53), (53, 29)], (1, 4): [(95, 34), (34, 38)], (2, 4): [(12, 36), (36, 38)], (3, 4): [(29, 80), (80, 28), (28, 38)]}","{(1, 95): {'cpu': 20}, (2, 12): {'cpu': 18}, (0, 25): {'cpu': 14}, (3, 29): {'cpu': 4}, (4, 38): {'cpu': 3}}","{((0, 1), (25, 34)): {'bw': 19}, ((0, 1), (34, 95)): {'bw': 19}, ((0, 3), (25, 97)): {'bw': 7}, ((0, 3), (97, 29)): {'bw': 7}, ((1, 3), (95, 53)): {'bw': 8}, ((1, 3), (53, 29)): {'bw': 8}, ((1, 4), (95, 34)): {'bw': 13}, ((1, 4), (34, 38)): {'bw': 13}, ((2, 4), (12, 36)): {'bw': 5}, ((2, 4), (36, 38)): {'bw': 5}, ((3, 4), (29, 80)): {'bw': 0}, ((3, 4), (80, 28)): {'bw': 0}, ((3, 4), (28, 38)): {'bw': 0}}",163.0,111.0,118.0,59.0,52.0,59.0,52.0,59.0,104.0,52.0,0.6809815950920245,189806.4434697958,129254.69463280574,792.9735867043296,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -75}, 2: {'cpu': -76}, 0: {'cpu': -80}, 3: {'cpu': -89}, 4: {'cpu': -90}}, 'link_level': {(0, 1): {'bw': -58}, (0, 3): {'bw': -45}, (1, 3): {'bw': -14}, (1, 4): {'bw': -45}, (2, 4): {'bw': -53}, (3, 4): {'bw': -55}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {1: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],5.0,6.0
4,4,4,548.0,1137.0,224451.97154741955,412384.5040692452,0.48197009674582236,0.544278384208469,15,3,1,97.0,41617,7143,34474,0.02710433124489242,0.026488196091720373,3,298.87303872756866,97.0,5,5,True,"{1: 46, 2: 90, 3: 19, 0: 27, 4: 34}","{(0, 2): [(27, 8), (8, 22), (22, 4), (4, 90)], (0, 4): [(27, 32), (32, 43), (43, 15), (15, 34)], (1, 4): [(46, 45), (45, 97), (97, 34)], (2, 3): [(90, 55), (55, 19)], (2, 4): [(90, 34)]}","{(1, 46): {'cpu': 15}, (2, 90): {'cpu': 15}, (3, 19): {'cpu': 11}, (0, 27): {'cpu': 8}, (4, 34): {'cpu': 4}}","{((0, 2), (27, 8)): {'bw': 39}, ((0, 2), (8, 22)): {'bw': 39}, ((0, 2), (22, 4)): {'bw': 39}, ((0, 2), (4, 90)): {'bw': 39}, ((0, 4), (27, 32)): {'bw': 28}, ((0, 4), (32, 43)): {'bw': 28}, ((0, 4), (43, 15)): {'bw': 28}, ((0, 4), (15, 34)): {'bw': 28}, ((1, 4), (46, 45)): {'bw': 45}, ((1, 4), (45, 97)): {'bw': 45}, ((1, 4), (97, 34)): {'bw': 45}, ((2, 3), (90, 55)): {'bw': 26}, ((2, 3), (55, 19)): {'bw': 26}, ((2, 4), (90, 34)): {'bw': 10}}",518.0,201.0,106.0,53.0,148.0,53.0,148.0,53.0,465.0,317.0,0.38803088803088803,154816.23406088055,60073.4807842413,115.97197062594846,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -78}, 2: {'cpu': -78}, 3: {'cpu': -81}, 0: {'cpu': -84}, 4: {'cpu': -87}}, 'link_level': {(0, 2): {'bw': -11}, (0, 4): {'bw': -29}, (1, 4): {'bw': -10}, (2, 3): {'bw': -60}, (2, 4): {'bw': -53}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}","{'node_level': {1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 4): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}",[],-inf,-inf,True,True,False,0,[],5.0,5.0
5,5,5,955.0,1942.0,417674.1172054929,794556.0698057294,0.4917610710607621,0.525669783515234,20,4,1,123.0,40812,7022,33790,0.04358485426314351,0.04580368236755905,4,474.74728662917295,123.0,9,10,True,"{0: 44, 3: 38, 8: 55, 6: 72, 2: 29, 1: 80, 5: 8, 4: 14, 7: 34}","{(0, 2): [(44, 58), (58, 80), (80, 29)], (1, 4): [(80, 14)], (1, 6): [(80, 72)], (1, 8): [(80, 14), (14, 55)], (2, 3): [(29, 80), (80, 28), (28, 38)], (2, 4): [(29, 80), (80, 14)], (2, 7): [(29, 90), (90, 34)], (2, 8): [(29, 89), (89, 90), (90, 55)], (4, 7): [(14, 9), (9, 25), (25, 34)], (5, 6): [(8, 41), (41, 81), (81, 72)]}","{(0, 44): {'cpu': 20}, (3, 38): {'cpu': 19}, (8, 55): {'cpu': 19}, (6, 72): {'cpu': 18}, (2, 29): {'cpu': 17}, (1, 80): {'cpu': 14}, (5, 8): {'cpu': 9}, (4, 14): {'cpu': 3}, (7, 34): {'cpu': 2}}","{((0, 2), (44, 58)): {'bw': 30}, ((0, 2), (58, 80)): {'bw': 30}, ((0, 2), (80, 29)): {'bw': 30}, ((1, 4), (80, 14)): {'bw': 43}, ((1, 6), (80, 72)): {'bw': 18}, ((1, 8), (80, 14)): {'bw': 45}, ((1, 8), (14, 55)): {'bw': 45}, ((2, 3), (29, 80)): {'bw': 23}, ((2, 3), (80, 28)): {'bw': 23}, ((2, 3), (28, 38)): {'bw': 23}, ((2, 4), (29, 80)): {'bw': 1}, ((2, 4), (80, 14)): {'bw': 1}, ((2, 7), (29, 90)): {'bw': 6}, ((2, 7), (90, 34)): {'bw': 6}, ((2, 8), (29, 89)): {'bw': 42}, ((2, 8), (89, 90)): {'bw': 42}, ((2, 8), (90, 55)): {'bw': 42}, ((4, 7), (14, 9)): {'bw': 48}, ((4, 7), (9, 25)): {'bw': 48}, ((4, 7), (25, 34)): {'bw': 48}, ((5, 6), (8, 41)): {'bw': 30}, ((5, 6), (41, 81)): {'bw': 30}, ((5, 6), (81, 72)): {'bw': 30}}",805.0,407.0,242.0,121.0,286.0,121.0,286.0,121.0,684.0,398.0,0.5055900621118012,382171.56573648425,193222.1456580734,240.02751013425265,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -71}, 3: {'cpu': -71}, 8: {'cpu': -71}, 6: {'cpu': -72}, 2: {'cpu': -72}, 1: {'cpu': -75}, 5: {'cpu': -78}, 4: {'cpu': -84}, 7: {'cpu': -85}}, 'link_level': {(0, 2): {'bw': -25}, (1, 4): {'bw': -50}, (1, 6): {'bw': -81}, (1, 8): {'bw': -5}, (2, 3): {'bw': -2}, (2, 4): {'bw': -1}, (2, 7): {'bw': -4}, (2, 8): {'bw': -18}, (4, 7): {'bw': -4}, (5, 6): {'bw': -26}}, 'path_level': {(0, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 3): {}, (2, 4): {}, (2, 7): {}, (2, 8): {}, (4, 7): {}, (5, 6): {}}}","{'node_level': {0: {'cpu': 0}, 3: {'cpu': 0}, 8: {'cpu': 0}, 6: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 4: {'cpu': 0}, 7: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 4): {'bw': 0}, (1, 6): {'bw': 0}, (1, 8): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}, (2, 7): {'bw': 0}, (2, 8): {'bw': 0}, (4, 7): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 3): {}, (2, 4): {}, (2, 7): {}, (2, 8): {}, (4, 7): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],9.0,10.0
6,6,6,1158.0,2391.0,653798.755128071,1316821.8945704466,0.48431618569636137,0.49649748217570694,25,5,1,146.0,40363,6967,33396,0.0510760010896214,0.05692985428668251,5,1163.1755562688575,146.0,5,6,True,"{2: 51, 0: 64, 3: 93, 4: 23, 1: 53}","{(0, 2): [(64, 36), (36, 51)], (0, 4): [(64, 82), (82, 2), (2, 23)], (1, 2): [(53, 13), (13, 51)], (1, 4): [(53, 79), (79, 2), (2, 23)], (2, 4): [(51, 13), (13, 74), (74, 23)], (3, 4): [(93, 16), (16, 17), (17, 23)]}","{(2, 51): {'cpu': 17}, (0, 64): {'cpu': 16}, (3, 93): {'cpu': 10}, (4, 23): {'cpu': 9}, (1, 53): {'cpu': 3}}","{((0, 2), (64, 36)): {'bw': 44}, ((0, 2), (36, 51)): {'bw': 44}, ((0, 4), (64, 82)): {'bw': 13}, ((0, 4), (82, 2)): {'bw': 13}, ((0, 4), (2, 23)): {'bw': 13}, ((1, 2), (53, 13)): {'bw': 6}, ((1, 2), (13, 51)): {'bw': 6}, ((1, 4), (53, 79)): {'bw': 38}, ((1, 4), (79, 2)): {'bw': 38}, ((1, 4), (2, 23)): {'bw': 38}, ((2, 4), (51, 13)): {'bw': 39}, ((2, 4), (13, 74)): {'bw': 39}, ((2, 4), (74, 23)): {'bw': 39}, ((3, 4), (93, 16)): {'bw': 8}, ((3, 4), (16, 17)): {'bw': 8}, ((3, 4), (17, 23)): {'bw': 8}}",449.0,203.0,110.0,55.0,148.0,55.0,148.0,55.0,394.0,246.0,0.4521158129175947,522265.824764717,236124.63792257805,525.8900621883698,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -70}, 0: {'cpu': -71}, 3: {'cpu': -77}, 4: {'cpu': -77}, 1: {'cpu': -83}}, 'link_level': {(0, 2): {'bw': -19}, (0, 4): {'bw': -45}, (1, 2): {'bw': -73}, (1, 4): {'bw': -14}, (2, 4): {'bw': -22}, (3, 4): {'bw': -60}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {2: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 2): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],5.0,6.0
6,6,5,1158.0,2391.0,653798.755128071,1316821.8945704466,0.48431618569636137,0.49649748217570694,25,6,0,158.72096779511514,40731,7050,33681,0.03977117951511855,0.04888173500508297,0,125.72096779511513,33.0,7,8,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],,
7,7,6,1431.0,3005.0,668071.362267394,1348922.1904808655,0.4762063227953411,0.49526308261652885,27,7,1,172.0,40117,6982,33135,0.049032961046036494,0.06430023720772615,6,52.28061223195255,172.0,7,9,True,"{2: 16, 3: 18, 0: 22, 4: 68, 1: 30, 6: 34, 5: 39}","{(0, 2): [(22, 41), (41, 16)], (1, 2): [(30, 75), (75, 16)], (1, 6): [(30, 95), (95, 34)], (2, 3): [(16, 0), (0, 38), (38, 72), (72, 18)], (2, 5): [(16, 67), (67, 4), (4, 39)], (2, 6): [(16, 0), (0, 38), (38, 34)], (3, 5): [(18, 7), (7, 39)], (3, 6): [(18, 72), (72, 80), (80, 34)], (4, 5): [(68, 57), (57, 4), (4, 39)]}","{(2, 16): {'cpu': 16}, (3, 18): {'cpu': 15}, (0, 22): {'cpu': 13}, (4, 68): {'cpu': 8}, (1, 30): {'cpu': 7}, (6, 34): {'cpu': 6}, (5, 39): {'cpu': 3}}","{((0, 2), (22, 41)): {'bw': 17}, ((0, 2), (41, 16)): {'bw': 17}, ((1, 2), (30, 75)): {'bw': 7}, ((1, 2), (75, 16)): {'bw': 7}, ((1, 6), (30, 95)): {'bw': 20}, ((1, 6), (95, 34)): {'bw': 20}, ((2, 3), (16, 0)): {'bw': 25}, ((2, 3), (0, 38)): {'bw': 25}, ((2, 3), (38, 72)): {'bw': 25}, ((2, 3), (72, 18)): {'bw': 25}, ((2, 5), (16, 67)): {'bw': 2}, ((2, 5), (67, 4)): {'bw': 2}, ((2, 5), (4, 39)): {'bw': 2}, ((2, 6), (16, 0)): {'bw': 16}, ((2, 6), (0, 38)): {'bw': 16}, ((2, 6), (38, 34)): {'bw': 16}, ((3, 5), (18, 7)): {'bw': 50}, ((3, 5), (7, 39)): {'bw': 50}, ((3, 6), (18, 72)): {'bw': 45}, ((3, 6), (72, 80)): {'bw': 45}, ((3, 6), (80, 34)): {'bw': 45}, ((4, 5), (68, 57)): {'bw': 23}, ((4, 5), (57, 4)): {'bw': 23}, ((4, 5), (4, 39)): {'bw': 23}}",614.0,273.0,136.0,68.0,205.0,68.0,205.0,68.0,546.0,341.0,0.44462540716612375,32100.295910418867,14272.607139323047,23.245288500526133,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -84}, 3: {'cpu': -85}, 0: {'cpu': -86}, 4: {'cpu': -91}, 1: {'cpu': -78}, 6: {'cpu': -79}, 5: {'cpu': -82}}, 'link_level': {(0, 2): {'bw': -36}, (1, 2): {'bw': -71}, (1, 6): {'bw': -25}, (2, 3): {'bw': -37}, (2, 5): {'bw': -51}, (2, 6): {'bw': -21}, (3, 5): {'bw': -18}, (3, 6): {'bw': -4}, (4, 5): {'bw': -56}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}}}","{'node_level': {2: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}, 6: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 2): {'bw': 0}, (1, 6): {'bw': 0}, (2, 3): {'bw': 0}, (2, 5): {'bw': 0}, (2, 6): {'bw': 0}, (3, 5): {'bw': 0}, (3, 6): {'bw': 0}, (4, 5): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}}}",[],-inf,-inf,True,True,False,0,[],7.0,9.0
8,7,6,1431.0,3005.0,668071.362267394,1348922.1904808655,0.4762063227953411,0.49526308261652885,27,8,1,194.0,40117,6982,33135,0.049032961046036494,0.06430023720772615,7,1750.1068281010932,194.0,4,5,False,"{3: 68, 2: 22, 0: 18, 1: 66}","{(0, 1): []}","{(3, 68): {'cpu': 17}, (2, 22): {'cpu': 12}, (0, 18): {'cpu': 4}, (1, 66): {'cpu': 4}}",{},0.0,0.0,74.0,37.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,5.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -74}, 2: {'cpu': -74}, 0: {'cpu': -81}, 1: {'cpu': -81}}, 'link_level': {(0, 1): {'bw': 5}}, 'path_level': {(0, 1): {}}}","{'node_level': {3: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 5}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,False,False,0,[],4.0,1.0
9,7,6,1431.0,3005.0,668071.362267394,1348922.1904808655,0.4762063227953411,0.49526308261652885,27,9,1,223.0,40117,6982,33135,0.049032961046036494,0.06430023720772615,8,529.4170709327137,223.0,6,8,False,"{2: 68, 3: 22, 5: 18, 4: 66, 0: 75, 1: 83}","{(0, 1): [(75, 22), (22, 83)], (0, 2): [(75, 35), (35, 85), (85, 68)], (0, 4): [(75, 16), (16, 17), (17, 66)], (0, 5): []}","{(2, 68): {'cpu': 19}, (3, 22): {'cpu': 19}, (5, 18): {'cpu': 9}, (4, 66): {'cpu': 7}, (0, 75): {'cpu': 5}, (1, 83): {'cpu': 1}}","{((0, 1), (75, 22)): {'bw': 49}, ((0, 1), (22, 83)): {'bw': 49}, ((0, 2), (75, 35)): {'bw': 9}, ((0, 2), (35, 85)): {'bw': 9}, ((0, 2), (85, 68)): {'bw': 9}, ((0, 4), (75, 16)): {'bw': 0}, ((0, 4), (16, 17)): {'bw': 0}, ((0, 4), (17, 66)): {'bw': 0}}",0.0,0.0,120.0,60.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,15.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -72}, 3: {'cpu': -67}, 5: {'cpu': -76}, 4: {'cpu': -78}, 0: {'cpu': -80}, 1: {'cpu': -84}}, 'link_level': {(0, 1): {'bw': -6}, (0, 2): {'bw': -41}, (0, 4): {'bw': -75}, (0, 5): {'bw': 15}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 4): {}, (0, 5): {}}}","{'node_level': {2: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (0, 5): {'bw': 15}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 4): {}, (0, 5): {}}}",[],-inf,-inf,True,False,False,0,[],6.0,4.0
