v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_placed_nodes,num_routed_links
1,1,1,190.0,364.0,23886.983881071876,45762.4322774219,0.521978021978022,0.521978021978022,7,0,1,33.0,45941,7471,38470,0.01098755626158332,0.007251425769657538,0,125.72096779511513,33.0,7,8,True,"{0: 18, 2: 20, 6: 23, 4: 48, 3: 58, 1: 67, 5: 94}","{(0, 3): [(18, 13), (13, 55), (55, 58)], (0, 4): [(18, 13), (13, 82), (82, 48)], (0, 6): [(18, 13), (13, 23)], (1, 3): [(67, 23), (23, 2), (2, 58)], (1, 4): [(67, 36), (36, 48)], (2, 4): [(20, 15), (15, 48)], (3, 4): [(58, 37), (37, 45), (45, 48)], (5, 6): [(94, 18), (18, 13), (13, 23)]}","{(0, 18): {'cpu': 20}, (2, 20): {'cpu': 19}, (6, 23): {'cpu': 19}, (4, 48): {'cpu': 14}, (3, 58): {'cpu': 8}, (1, 67): {'cpu': 3}, (5, 94): {'cpu': 0}}","{((0, 3), (18, 13)): {'bw': 8}, ((0, 3), (13, 55)): {'bw': 8}, ((0, 3), (55, 58)): {'bw': 8}, ((0, 4), (18, 13)): {'bw': 7}, ((0, 4), (13, 82)): {'bw': 7}, ((0, 4), (82, 48)): {'bw': 7}, ((0, 6), (18, 13)): {'bw': 23}, ((0, 6), (13, 23)): {'bw': 23}, ((1, 3), (67, 23)): {'bw': 13}, ((1, 3), (23, 2)): {'bw': 13}, ((1, 3), (2, 58)): {'bw': 13}, ((1, 4), (67, 36)): {'bw': 17}, ((1, 4), (36, 48)): {'bw': 17}, ((2, 4), (20, 15)): {'bw': 0}, ((2, 4), (15, 48)): {'bw': 0}, ((3, 4), (58, 37)): {'bw': 11}, ((3, 4), (37, 45)): {'bw': 11}, ((3, 4), (45, 48)): {'bw': 11}, ((5, 6), (94, 18)): {'bw': 28}, ((5, 6), (18, 13)): {'bw': 28}, ((5, 6), (13, 23)): {'bw': 28}}",364.0,190.0,166.0,83.0,107.0,83.0,107.0,83.0,281.0,174.0,0.521978021978022,45762.4322774219,23886.983881071876,65.6235820908568,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -80}, 2: {'cpu': -81}, 6: {'cpu': -81}, 4: {'cpu': -86}, 3: {'cpu': -92}, 1: {'cpu': -97}, 5: {'cpu': -100}}, 'link_level': {(0, 3): {'bw': -63}, (0, 4): {'bw': -44}, (0, 6): {'bw': -33}, (1, 3): {'bw': -43}, (1, 4): {'bw': -70}, (2, 4): {'bw': -51}, (3, 4): {'bw': -42}, (5, 6): {'bw': -5}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}","{'node_level': {0: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 6): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],7.0,8.0
2,2,2,236.0,494.0,35123.79613037254,77518.64080805422,0.4777327935222672,0.4531012897574329,8,1,1,49.0,45811,7467,38344,0.011517077045274049,0.010502954762457772,1,244.27852715871012,49.0,2,1,True,"{0: 94, 1: 17}","{(0, 1): [(94, 39), (39, 35), (35, 17)]}","{(0, 94): {'cpu': 4}, (1, 17): {'cpu': 0}}","{((0, 1), (94, 39)): {'bw': 42}, ((0, 1), (39, 35)): {'bw': 42}, ((0, 1), (35, 17)): {'bw': 42}}",130.0,46.0,8.0,4.0,42.0,4.0,42.0,4.0,126.0,84.0,0.35384615384615387,31756.208530632317,11236.812249300665,86.43701730231281,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -96}, 1: {'cpu': -99}}, 'link_level': {(0, 1): {'bw': -10}}, 'path_level': {(0, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],2.0,1.0
3,3,3,347.0,654.0,164378.49076317827,263831.71415263903,0.5305810397553516,0.623042954828689,12,2,1,76.0,45651,7408,38243,0.019327508604712773,0.013109339113829277,2,1164.4567084036553,76.0,5,6,True,"{1: 17, 2: 46, 0: 25, 3: 55, 4: 40}","{(0, 1): [(25, 76), (76, 17)], (0, 3): [(25, 7), (7, 55)], (1, 3): [(17, 55)], (1, 4): [(17, 76), (76, 40)], (2, 4): [(46, 26), (26, 24), (24, 40)], (3, 4): [(55, 47), (47, 32), (32, 40)]}","{(1, 17): {'cpu': 20}, (2, 46): {'cpu': 18}, (0, 25): {'cpu': 14}, (3, 55): {'cpu': 4}, (4, 40): {'cpu': 3}}","{((0, 1), (25, 76)): {'bw': 19}, ((0, 1), (76, 17)): {'bw': 19}, ((0, 3), (25, 7)): {'bw': 7}, ((0, 3), (7, 55)): {'bw': 7}, ((1, 3), (17, 55)): {'bw': 8}, ((1, 4), (17, 76)): {'bw': 13}, ((1, 4), (76, 40)): {'bw': 13}, ((2, 4), (46, 26)): {'bw': 5}, ((2, 4), (26, 24)): {'bw': 5}, ((2, 4), (24, 40)): {'bw': 5}, ((3, 4), (55, 47)): {'bw': 0}, ((3, 4), (47, 32)): {'bw': 0}, ((3, 4), (32, 40)): {'bw': 0}}",160.0,111.0,118.0,59.0,52.0,59.0,52.0,59.0,101.0,49.0,0.69375,186313.07334458485,129254.69463280574,807.8418414550358,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -79}, 2: {'cpu': -81}, 0: {'cpu': -84}, 3: {'cpu': -94}, 4: {'cpu': -94}}, 'link_level': {(0, 1): {'bw': -33}, (0, 3): {'bw': -62}, (1, 3): {'bw': -75}, (1, 4): {'bw': -20}, (2, 4): {'bw': -55}, (3, 4): {'bw': -57}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {1: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],5.0,6.0
4,3,3,347.0,654.0,164378.49076317827,263831.71415263903,0.5305810397553516,0.623042954828689,12,3,1,97.0,45651,7408,38243,0.019327508604712773,0.013109339113829277,3,298.87303872756866,97.0,5,5,False,"{1: 56, 2: 67, 3: 82, 0: 63, 4: 94}","{(0, 2): [(63, 9), (9, 67)], (0, 4): []}","{(1, 56): {'cpu': 15}, (2, 67): {'cpu': 15}, (3, 82): {'cpu': 11}, (0, 63): {'cpu': 8}, (4, 94): {'cpu': 4}}","{((0, 2), (63, 9)): {'bw': 39}, ((0, 2), (9, 67)): {'bw': 39}}",0.0,0.0,106.0,53.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,3.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -82}, 2: {'cpu': -82}, 3: {'cpu': -86}, 0: {'cpu': -88}, 4: {'cpu': -92}}, 'link_level': {(0, 2): {'bw': -42}, (0, 4): {'bw': 3}}, 'path_level': {(0, 2): {}, (0, 4): {}}}","{'node_level': {1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 3}}, 'path_level': {(0, 2): {}, (0, 4): {}}}",[],-inf,-inf,True,False,False,0,[],5.0,2.0
5,3,3,347.0,654.0,164378.49076317827,263831.71415263903,0.5305810397553516,0.623042954828689,12,4,1,123.0,45651,7408,38243,0.019327508604712773,0.013109339113829277,4,474.74728662917295,123.0,9,10,False,"{0: 56, 3: 67, 8: 82, 6: 63, 2: 94, 1: 27, 5: 40, 4: 55, 7: 47}","{(0, 2): []}","{(0, 56): {'cpu': 20}, (3, 67): {'cpu': 19}, (8, 82): {'cpu': 19}, (6, 63): {'cpu': 18}, (2, 94): {'cpu': 17}, (1, 27): {'cpu': 14}, (5, 40): {'cpu': 9}, (4, 55): {'cpu': 3}, (7, 47): {'cpu': 2}}",{},0.0,0.0,242.0,121.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,30.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -77}, 3: {'cpu': -78}, 8: {'cpu': -78}, 6: {'cpu': -78}, 2: {'cpu': -79}, 1: {'cpu': -80}, 5: {'cpu': -85}, 4: {'cpu': -91}, 7: {'cpu': -91}}, 'link_level': {(0, 2): {'bw': 25}}, 'path_level': {(0, 2): {}}}","{'node_level': {0: {'cpu': 0}, 3: {'cpu': 0}, 8: {'cpu': 0}, 6: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 4: {'cpu': 0}, 7: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 30}}, 'path_level': {(0, 2): {}}}",[],-inf,-inf,True,False,False,0,[],9.0,1.0
6,3,3,347.0,654.0,164378.49076317827,263831.71415263903,0.5305810397553516,0.623042954828689,12,5,1,146.0,45651,7408,38243,0.019327508604712773,0.013109339113829277,5,1163.1755562688575,146.0,5,6,False,"{2: 56, 0: 67, 3: 82, 4: 63, 1: 94}","{(0, 2): [(67, 98), (98, 10), (10, 56)], (0, 4): [(67, 9), (9, 63)], (1, 2): [(94, 39), (39, 56)], (1, 4): []}","{(2, 56): {'cpu': 17}, (0, 67): {'cpu': 16}, (3, 82): {'cpu': 10}, (4, 63): {'cpu': 9}, (1, 94): {'cpu': 3}}","{((0, 2), (67, 98)): {'bw': 44}, ((0, 2), (98, 10)): {'bw': 44}, ((0, 2), (10, 56)): {'bw': 44}, ((0, 4), (67, 9)): {'bw': 13}, ((0, 4), (9, 63)): {'bw': 13}, ((1, 2), (94, 39)): {'bw': 6}, ((1, 2), (39, 56)): {'bw': 6}}",0.0,0.0,110.0,55.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,13.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -80}, 0: {'cpu': -81}, 3: {'cpu': -87}, 4: {'cpu': -87}, 1: {'cpu': -93}}, 'link_level': {(0, 2): {'bw': -25}, (0, 4): {'bw': -68}, (1, 2): {'bw': -19}, (1, 4): {'bw': 13}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}}}","{'node_level': {2: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 2): {'bw': 0}, (1, 4): {'bw': 13}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}}}",[],-inf,-inf,True,False,False,0,[],5.0,4.0
6,3,2,347.0,654.0,164378.49076317827,263831.71415263903,0.5305810397553516,0.623042954828689,12,6,0,158.72096779511514,46015,7491,38524,0.008339952343129453,0.005857913344171739,0,125.72096779511513,33.0,7,8,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],,
7,4,3,620.0,1372.0,178651.09790250132,301369.19373518095,0.4518950437317784,0.5927981413371851,13,7,1,172.0,45297,7423,37874,0.0173418056658724,0.022631674021315606,6,52.28061223195255,172.0,7,9,True,"{2: 18, 3: 20, 0: 23, 4: 48, 1: 58, 6: 67, 5: 56}","{(0, 2): [(23, 13), (13, 18)], (1, 2): [(58, 55), (55, 13), (13, 18)], (1, 6): [(58, 2), (2, 23), (23, 67)], (2, 3): [(18, 13), (13, 4), (4, 54), (54, 20)], (2, 5): [(18, 50), (50, 21), (21, 56)], (2, 6): [(18, 13), (13, 23), (23, 67)], (3, 5): [(20, 15), (15, 48), (48, 10), (10, 56)], (3, 6): [(20, 54), (54, 34), (34, 67)], (4, 5): [(48, 39), (39, 56)]}","{(2, 18): {'cpu': 16}, (3, 20): {'cpu': 15}, (0, 23): {'cpu': 13}, (4, 48): {'cpu': 8}, (1, 58): {'cpu': 7}, (6, 67): {'cpu': 6}, (5, 56): {'cpu': 3}}","{((0, 2), (23, 13)): {'bw': 17}, ((0, 2), (13, 18)): {'bw': 17}, ((1, 2), (58, 55)): {'bw': 7}, ((1, 2), (55, 13)): {'bw': 7}, ((1, 2), (13, 18)): {'bw': 7}, ((1, 6), (58, 2)): {'bw': 20}, ((1, 6), (2, 23)): {'bw': 20}, ((1, 6), (23, 67)): {'bw': 20}, ((2, 3), (18, 13)): {'bw': 25}, ((2, 3), (13, 4)): {'bw': 25}, ((2, 3), (4, 54)): {'bw': 25}, ((2, 3), (54, 20)): {'bw': 25}, ((2, 5), (18, 50)): {'bw': 2}, ((2, 5), (50, 21)): {'bw': 2}, ((2, 5), (21, 56)): {'bw': 2}, ((2, 6), (18, 13)): {'bw': 16}, ((2, 6), (13, 23)): {'bw': 16}, ((2, 6), (23, 67)): {'bw': 16}, ((3, 5), (20, 15)): {'bw': 50}, ((3, 5), (15, 48)): {'bw': 50}, ((3, 5), (48, 10)): {'bw': 50}, ((3, 5), (10, 56)): {'bw': 50}, ((3, 6), (20, 54)): {'bw': 45}, ((3, 6), (54, 34)): {'bw': 45}, ((3, 6), (34, 67)): {'bw': 45}, ((4, 5), (48, 39)): {'bw': 23}, ((4, 5), (39, 56)): {'bw': 23}}",718.0,273.0,136.0,68.0,205.0,68.0,205.0,68.0,650.0,445.0,0.3802228412256267,37537.479582541935,14272.607139323047,19.878282923848253,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -84}, 3: {'cpu': -85}, 0: {'cpu': -87}, 4: {'cpu': -92}, 1: {'cpu': -93}, 6: {'cpu': -94}, 5: {'cpu': -94}}, 'link_level': {(0, 2): {'bw': -48}, (1, 2): {'bw': -47}, (1, 6): {'bw': -36}, (2, 3): {'bw': -22}, (2, 5): {'bw': -55}, (2, 6): {'bw': -6}, (3, 5): {'bw': -1}, (3, 6): {'bw': -11}, (4, 5): {'bw': -28}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}}}","{'node_level': {2: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}, 6: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 2): {'bw': 0}, (1, 6): {'bw': 0}, (2, 3): {'bw': 0}, (2, 5): {'bw': 0}, (2, 6): {'bw': 0}, (3, 5): {'bw': 0}, (3, 6): {'bw': 0}, (4, 5): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}}}",[],-inf,-inf,True,True,False,0,[],7.0,9.0
8,5,4,788.0,1799.0,472669.04502348497,1048664.8093343477,0.43802112284602557,0.4507341533883617,16,8,1,194.0,44870,7386,37484,0.02223987291501195,0.03269593042760188,7,1750.1068281010932,194.0,4,5,True,"{3: 82, 2: 63, 0: 94, 1: 27}","{(0, 1): [(94, 18), (18, 19), (19, 27)], (0, 2): [(94, 18), (18, 50), (50, 13), (13, 63)], (0, 3): [(94, 39), (39, 48), (48, 82)], (1, 2): [(27, 2), (2, 0), (0, 63)], (1, 3): [(27, 99), (99, 82)]}","{(3, 82): {'cpu': 17}, (2, 63): {'cpu': 12}, (0, 94): {'cpu': 4}, (1, 27): {'cpu': 4}}","{((0, 1), (94, 18)): {'bw': 23}, ((0, 1), (18, 19)): {'bw': 23}, ((0, 1), (19, 27)): {'bw': 23}, ((0, 2), (94, 18)): {'bw': 30}, ((0, 2), (18, 50)): {'bw': 30}, ((0, 2), (50, 13)): {'bw': 30}, ((0, 2), (13, 63)): {'bw': 30}, ((0, 3), (94, 39)): {'bw': 25}, ((0, 3), (39, 48)): {'bw': 25}, ((0, 3), (48, 82)): {'bw': 25}, ((1, 2), (27, 2)): {'bw': 20}, ((1, 2), (2, 0)): {'bw': 20}, ((1, 2), (0, 63)): {'bw': 20}, ((1, 3), (27, 99)): {'bw': 33}, ((1, 3), (99, 82)): {'bw': 33}}",427.0,168.0,74.0,37.0,131.0,37.0,131.0,37.0,390.0,259.0,0.39344262295081966,747295.6155991668,294017.9471209837,688.5666208922333,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -80}, 2: {'cpu': -84}, 0: {'cpu': -92}, 1: {'cpu': -90}}, 'link_level': {(0, 1): {'bw': -30}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (1, 2): {'bw': -54}, (1, 3): {'bw': -59}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 2): {}, (1, 3): {}}}","{'node_level': {3: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (1, 2): {'bw': 0}, (1, 3): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 2): {}, (1, 3): {}}}",[],-inf,-inf,True,True,False,0,[],4.0,5.0
9,6,5,1046.0,2323.0,609258.6493241251,1326079.3545030898,0.45027981058975464,0.4594435825090025,17,9,1,223.0,44346,7326,37020,0.030182684670373328,0.044669814972516875,8,529.4170709327137,223.0,6,8,True,"{2: 40, 3: 55, 5: 56, 4: 67, 0: 47, 1: 58}","{(0, 1): [(47, 55), (55, 58)], (0, 2): [(47, 32), (32, 40)], (0, 4): [(47, 23), (23, 67)], (0, 5): [(47, 7), (7, 21), (21, 56)], (1, 3): [(58, 55)], (1, 4): [(58, 2), (2, 23), (23, 67)], (2, 5): [(40, 41), (41, 39), (39, 56)], (4, 5): [(67, 5), (5, 95), (95, 56)]}","{(2, 40): {'cpu': 19}, (3, 55): {'cpu': 19}, (5, 56): {'cpu': 9}, (4, 67): {'cpu': 7}, (0, 47): {'cpu': 5}, (1, 58): {'cpu': 1}}","{((0, 1), (47, 55)): {'bw': 49}, ((0, 1), (55, 58)): {'bw': 49}, ((0, 2), (47, 32)): {'bw': 9}, ((0, 2), (32, 40)): {'bw': 9}, ((0, 4), (47, 23)): {'bw': 0}, ((0, 4), (23, 67)): {'bw': 0}, ((0, 5), (47, 7)): {'bw': 19}, ((0, 5), (7, 21)): {'bw': 19}, ((0, 5), (21, 56)): {'bw': 19}, ((1, 3), (58, 55)): {'bw': 36}, ((1, 4), (58, 2)): {'bw': 17}, ((1, 4), (2, 23)): {'bw': 17}, ((1, 4), (23, 67)): {'bw': 17}, ((2, 5), (40, 41)): {'bw': 20}, ((2, 5), (41, 39)): {'bw': 20}, ((2, 5), (39, 56)): {'bw': 20}, ((4, 5), (67, 5)): {'bw': 48}, ((4, 5), (5, 95)): {'bw': 48}, ((4, 5), (95, 56)): {'bw': 48}}",524.0,258.0,120.0,60.0,198.0,60.0,198.0,60.0,464.0,266.0,0.49236641221374045,277414.545168742,136589.60430064015,260.6671837798476,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -75}, 3: {'cpu': -75}, 5: {'cpu': -85}, 4: {'cpu': -87}, 0: {'cpu': -88}, 1: {'cpu': -92}}, 'link_level': {(0, 1): {'bw': -34}, (0, 2): {'bw': -48}, (0, 4): {'bw': -62}, (0, 5): {'bw': -33}, (1, 3): {'bw': 0}, (1, 4): {'bw': -19}, (2, 5): {'bw': -8}, (4, 5): {'bw': -6}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 4): {}, (0, 5): {}, (1, 3): {}, (1, 4): {}, (2, 5): {}, (4, 5): {}}}","{'node_level': {2: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (0, 5): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 5): {'bw': 0}, (4, 5): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 4): {}, (0, 5): {}, (1, 3): {}, (1, 4): {}, (2, 5): {}, (4, 5): {}}}",[],-inf,-inf,True,True,False,0,[],6.0,8.0
